rtA1,rtA2,rtA1a,rtA1b,rtA1c,rtA1a1,rtA1a2,rtA1b1,rtA1b2,rtA1c1,rtA1c2,rtA1a1a,rtA1a1b,rtA1a2a,rtA1a2b,rtA1b1a,rtA1b1b,rtA1b2a,rtA1b2b,rtA1c1a,rtA1c1b,rtA1c2a,rtA1c2b,rtA2a,rtA2b,rtA2a1,rtA2a2,rtA2a3,rtA2a1A,rtA2a1B,rtA2a1A1,rtA2a1A2,rtA2a1B1,rtA2a1B2,rtA2a2A,rtA2a2B,rtA2a2A1,rtA2a2A2,rtA2a2B1,rtA2a2B2,rtA2a3A,rtA2a3B,rtA2a3A1,rtA2a3A2,rtA2a3B1,rtA2a3B2,rtA2b1,rtA2b2,rtA2b1A,rtA2b1B,rtA2b2A,rtA2b2B,id,isSmoker,willpower,health,smokedPerDay,turnsSinceLastChange,givingUp,stepsSinceGiveUp,giveUpAttempts,influenceability,sociable,$SWITCH_TABLE$simconsts$Operations
117230,980370,16931,86667,13632,268,16663,50696,35971,5274,8358,218,50,4191,12472,18503,0,14807,21164,1354,3920,1317,7041,48235,932135,11094,37138,3,5586,5508,4083,1503,5004,504,37138,0,10702,26436,0,0,0,3,0,0,3,0,425761,506374,150214,275547,241418,264956,n0,false,0.7988856101254445,0.746446853383712,0,5600,false,0,0,0.4980477120012749,0.4450878813640151,null
117230,980370,16931,86667,13632,268,16663,50696,35971,5274,8358,218,50,4191,12472,18503,0,14807,21164,1354,3920,1317,7041,48235,932135,11094,37138,3,5586,5508,4083,1503,5004,504,37138,0,10702,26436,0,0,0,3,0,0,3,0,425761,506374,150214,275547,241418,264956,n1,false,0.14948402084190546,0.7542458758323816,0,5600,false,0,0,0.24486701391518495,0.219915457707192,null
117230,980370,16931,86667,13632,268,16663,50696,35971,5274,8358,218,50,4191,12472,18503,0,14807,21164,1354,3920,1317,7041,48235,932135,11094,37138,3,5586,5508,4083,1503,5004,504,37138,0,10702,26436,0,0,0,3,0,0,3,0,425761,506374,150214,275547,241418,264956,n2,true,0.6229156246617318,0.8003528173131926,8,633,false,0,1,0.4121270694795848,0.8972759475418117,null
117230,980370,16931,86667,13632,268,16663,50696,35971,5274,8358,218,50,4191,12472,18503,0,14807,21164,1354,3920,1317,7041,48235,932135,11094,37138,3,5586,5508,4083,1503,5004,504,37138,0,10702,26436,0,0,0,3,0,0,3,0,425761,506374,150214,275547,241418,264956,n3,false,0.00757704128907091,0.734053548110419,0,5600,false,0,0,0.5144337102074323,0.07595471670217813,null
117230,980370,16931,86667,13632,268,16663,50696,35971,5274,8358,218,50,4191,12472,18503,0,14807,21164,1354,3920,1317,7041,48235,932135,11094,37138,3,5586,5508,4083,1503,5004,504,37138,0,10702,26436,0,0,0,3,0,0,3,0,425761,506374,150214,275547,241418,264956,n4,true,0.8424270162034311,0.7797815630082817,12,5600,false,0,0,0.3302299236162659,0.840575071327416,null
117230,980370,16931,86667,13632,268,16663,50696,35971,5274,8358,218,50,4191,12472,18503,0,14807,21164,1354,3920,1317,7041,48235,932135,11094,37138,3,5586,5508,4083,1503,5004,504,37138,0,10702,26436,0,0,0,3,0,0,3,0,425761,506374,150214,275547,241418,264956,n6,false,0.4858222260340664,0.8436641981430812,0,5097,false,500,1,0.8462237315786152,0.7929599181749184,null
117230,980370,16931,86667,13632,268,16663,50696,35971,5274,8358,218,50,4191,12472,18503,0,14807,21164,1354,3920,1317,7041,48235,932135,11094,37138,3,5586,5508,4083,1503,5004,504,37138,0,10702,26436,0,0,0,3,0,0,3,0,425761,506374,150214,275547,241418,264956,n9,false,0.45429524752691774,0.3467547303406848,0,5600,false,0,0,0.6984883332339332,0.36557837127056514,null
117230,980370,16931,86667,13632,268,16663,50696,35971,5274,8358,218,50,4191,12472,18503,0,14807,21164,1354,3920,1317,7041,48235,932135,11094,37138,3,5586,5508,4083,1503,5004,504,37138,0,10702,26436,0,0,0,3,0,0,3,0,425761,506374,150214,275547,241418,264956,n10,true,0.4245813219606491,0.6052875139547479,8,1423,false,0,1,0.6179265606682179,0.4620361204540254,null
117230,980370,16931,86667,13632,268,16663,50696,35971,5274,8358,218,50,4191,12472,18503,0,14807,21164,1354,3920,1317,7041,48235,932135,11094,37138,3,5586,5508,4083,1503,5004,504,37138,0,10702,26436,0,0,0,3,0,0,3,0,425761,506374,150214,275547,241418,264956,n12,false,0.8767865300121531,0.46931172469547855,0,5600,false,0,0,0.08411280914527236,0.5597288968719627,null
117230,980370,16931,86667,13632,268,16663,50696,35971,5274,8358,218,50,4191,12472,18503,0,14807,21164,1354,3920,1317,7041,48235,932135,11094,37138,3,5586,5508,4083,1503,5004,504,37138,0,10702,26436,0,0,0,3,0,0,3,0,425761,506374,150214,275547,241418,264956,n13,false,0.8284681258937211,0.770227106546004,0,4292,false,500,2,0.032908705347140965,0.05722521380729462,null
