rtA1,rtA2,rtA1a,rtA1b,rtA1c,rtA1a1,rtA1a2,rtA1b1,rtA1b2,rtA1c1,rtA1c2,rtA1a1a,rtA1a1b,rtA1a2a,rtA1a2b,rtA1b1a,rtA1b1b,rtA1b2a,rtA1b2b,rtA1c1a,rtA1c1b,rtA1c2a,rtA1c2b,rtA2a,rtA2b,rtA2a1,rtA2a2,rtA2a3,rtA2a1A,rtA2a1B,rtA2a1A1,rtA2a1A2,rtA2a1B1,rtA2a1B2,rtA2a2A,rtA2a2B,rtA2a2A1,rtA2a2A2,rtA2a2B1,rtA2a2B2,rtA2a3A,rtA2a3B,rtA2a3A1,rtA2a3A2,rtA2a3B1,rtA2a3B2,rtA2b1,rtA2b2,rtA2b1A,rtA2b1B,rtA2b2A,rtA2b2B,id,isSmoker,willpower,health,smokedPerDay,turnsSinceLastChange,givingUp,stepsSinceGiveUp,giveUpAttempts,influenceability,sociable,$SWITCH_TABLE$simconsts$Operations
828442,3855958,69775,717357,41310,14011,55764,427208,290149,16934,24376,11053,2958,14565,41199,85646,0,164250,125899,2766,14168,5911,18465,80585,3775373,11094,68883,608,5586,5508,4083,1503,5004,504,68845,38,24998,43847,38,0,0,608,0,0,608,0,1707806,2067567,595671,1112135,971506,1096061,n0,true,0.8149425904683112,0.746446853383712,15,14353,false,0,1,0.4980477120012749,0.4450878813640151,null
828442,3855958,69775,717357,41310,14011,55764,427208,290149,16934,24376,11053,2958,14565,41199,85646,0,164250,125899,2766,14168,5911,18465,80585,3775373,11094,68883,608,5586,5508,4083,1503,5004,504,68845,38,24998,43847,38,0,0,608,0,0,608,0,1707806,2067567,595671,1112135,971506,1096061,n1,false,0.15352744865930465,0.7542458758323816,0,4097,false,500,2,0.24486701391518495,0.219915457707192,null
828442,3855958,69775,717357,41310,14011,55764,427208,290149,16934,24376,11053,2958,14565,41199,85646,0,164250,125899,2766,14168,5911,18465,80585,3775373,11094,68883,608,5586,5508,4083,1503,5004,504,68845,38,24998,43847,38,0,0,608,0,0,608,0,1707806,2067567,595671,1112135,971506,1096061,n2,true,0.6229156246617318,0.8003528173131926,17,18933,false,0,1,0.4121270694795848,0.8972759475418117,null
828442,3855958,69775,717357,41310,14011,55764,427208,290149,16934,24376,11053,2958,14565,41199,85646,0,164250,125899,2766,14168,5911,18465,80585,3775373,11094,68883,608,5586,5508,4083,1503,5004,504,68845,38,24998,43847,38,0,0,608,0,0,608,0,1707806,2067567,595671,1112135,971506,1096061,n3,true,0.008297981875033777,0.734053548110419,20,388,false,0,1,0.5144337102074323,0.07595471670217813,null
828442,3855958,69775,717357,41310,14011,55764,427208,290149,16934,24376,11053,2958,14565,41199,85646,0,164250,125899,2766,14168,5911,18465,80585,3775373,11094,68883,608,5586,5508,4083,1503,5004,504,68845,38,24998,43847,38,0,0,608,0,0,608,0,1707806,2067567,595671,1112135,971506,1096061,n4,false,0.8669461701551318,0.7797815630082817,0,3385,false,501,3,0.3302299236162659,0.840575071327416,null
828442,3855958,69775,717357,41310,14011,55764,427208,290149,16934,24376,11053,2958,14565,41199,85646,0,164250,125899,2766,14168,5911,18465,80585,3775373,11094,68883,608,5586,5508,4083,1503,5004,504,68845,38,24998,43847,38,0,0,608,0,0,608,0,1707806,2067567,595671,1112135,971506,1096061,n6,false,0.5672170260209453,0.8436641981430812,0,23397,false,500,1,0.8462237315786152,0.7929599181749184,null
828442,3855958,69775,717357,41310,14011,55764,427208,290149,16934,24376,11053,2958,14565,41199,85646,0,164250,125899,2766,14168,5911,18465,80585,3775373,11094,68883,608,5586,5508,4083,1503,5004,504,68845,38,24998,43847,38,0,0,608,0,0,608,0,1707806,2067567,595671,1112135,971506,1096061,n9,false,0.5161754221560565,0.3467547303406848,0,23900,false,0,0,0.6984883332339332,0.36557837127056514,null
828442,3855958,69775,717357,41310,14011,55764,427208,290149,16934,24376,11053,2958,14565,41199,85646,0,164250,125899,2766,14168,5911,18465,80585,3775373,11094,68883,608,5586,5508,4083,1503,5004,504,68845,38,24998,43847,38,0,0,608,0,0,608,0,1707806,2067567,595671,1112135,971506,1096061,n10,false,0.4430813312244656,0.6052875139547479,0,195,false,502,6,0.6179265606682179,0.4620361204540254,null
828442,3855958,69775,717357,41310,14011,55764,427208,290149,16934,24376,11053,2958,14565,41199,85646,0,164250,125899,2766,14168,5911,18465,80585,3775373,11094,68883,608,5586,5508,4083,1503,5004,504,68845,38,24998,43847,38,0,0,608,0,0,608,0,1707806,2067567,595671,1112135,971506,1096061,n12,false,0.8905092372292734,0.46931172469547855,0,3847,false,502,6,0.08411280914527236,0.5597288968719627,null
828442,3855958,69775,717357,41310,14011,55764,427208,290149,16934,24376,11053,2958,14565,41199,85646,0,164250,125899,2766,14168,5911,18465,80585,3775373,11094,68883,608,5586,5508,4083,1503,5004,504,68845,38,24998,43847,38,0,0,608,0,0,608,0,1707806,2067567,595671,1112135,971506,1096061,n13,false,0.8332455155633712,0.770227106546004,0,451,false,504,10,0.032908705347140965,0.05722521380729462,null
