rtA1,rtA2,rtA1a,rtA1b,rtA1c,rtA1a1,rtA1a2,rtA1b1,rtA1b2,rtA1c1,rtA1c2,rtA1a1a,rtA1a1b,rtA1a2a,rtA1a2b,rtA1b1a,rtA1b1b,rtA1b2a,rtA1b2b,rtA1c1a,rtA1c1b,rtA1c2a,rtA1c2b,rtA2a,rtA2b,rtA2a1,rtA2a2,rtA2a3,rtA2a1A,rtA2a1B,rtA2a1A1,rtA2a1A2,rtA2a1B1,rtA2a1B2,rtA2a2A,rtA2a2B,rtA2a2A1,rtA2a2A2,rtA2a2B1,rtA2a2B2,rtA2a3A,rtA2a3B,rtA2a3A1,rtA2a3A2,rtA2a3B1,rtA2a3B2,rtA2b1,rtA2b2,rtA2b1A,rtA2b1B,rtA2b2A,rtA2b2B,id,isSmoker,willpower,health,smokedPerDay,turnsSinceLastChange,givingUp,stepsSinceGiveUp,giveUpAttempts,influenceability,sociable,$SWITCH_TABLE$simconsts$Operations
82417,721183,11107,58549,12761,249,10858,34746,23803,5273,7488,216,33,2685,8173,13565,0,8446,15357,1354,3919,1316,6172,42918,678265,11094,31822,2,5586,5508,4083,1503,5004,504,31822,0,8478,23344,0,0,0,2,0,0,2,0,309892,368373,109493,200399,175352,193021,n0,false,0.7930432865160778,0.746446853383712,0,4100,false,0,0,0.4980477120012749,0.4450878813640151,null
82417,721183,11107,58549,12761,249,10858,34746,23803,5273,7488,216,33,2685,8173,13565,0,8446,15357,1354,3919,1316,6172,42918,678265,11094,31822,2,5586,5508,4083,1503,5004,504,31822,0,8478,23344,0,0,0,2,0,0,2,0,309892,368373,109493,200399,175352,193021,n1,false,0.1489766407428813,0.7542458758323816,0,4100,false,0,0,0.24486701391518495,0.219915457707192,null
82417,721183,11107,58549,12761,249,10858,34746,23803,5273,7488,216,33,2685,8173,13565,0,8446,15357,1354,3919,1316,6172,42918,678265,11094,31822,2,5586,5508,4083,1503,5004,504,31822,0,8478,23344,0,0,0,2,0,0,2,0,309892,368373,109493,200399,175352,193021,n2,false,0.6207702793319547,0.8003528173131926,0,4100,false,0,0,0.4121270694795848,0.8972759475418117,null
82417,721183,11107,58549,12761,249,10858,34746,23803,5273,7488,216,33,2685,8173,13565,0,8446,15357,1354,3919,1316,6172,42918,678265,11094,31822,2,5586,5508,4083,1503,5004,504,31822,0,8478,23344,0,0,0,2,0,0,2,0,309892,368373,109493,200399,175352,193021,n3,false,0.007518696843429608,0.734053548110419,0,4100,false,0,0,0.5144337102074323,0.07595471670217813,null
82417,721183,11107,58549,12761,249,10858,34746,23803,5273,7488,216,33,2685,8173,13565,0,8446,15357,1354,3919,1316,6172,42918,678265,11094,31822,2,5586,5508,4083,1503,5004,504,31822,0,8478,23344,0,0,0,2,0,0,2,0,309892,368373,109493,200399,175352,193021,n4,true,0.8424270162034311,0.7797815630082817,12,4100,false,0,0,0.3302299236162659,0.840575071327416,null
82417,721183,11107,58549,12761,249,10858,34746,23803,5273,7488,216,33,2685,8173,13565,0,8446,15357,1354,3919,1316,6172,42918,678265,11094,31822,2,5586,5508,4083,1503,5004,504,31822,0,8478,23344,0,0,0,2,0,0,2,0,309892,368373,109493,200399,175352,193021,n6,false,0.479796871197755,0.8436641981430812,0,3597,false,500,1,0.8462237315786152,0.7929599181749184,null
82417,721183,11107,58549,12761,249,10858,34746,23803,5273,7488,216,33,2685,8173,13565,0,8446,15357,1354,3919,1316,6172,42918,678265,11094,31822,2,5586,5508,4083,1503,5004,504,31822,0,8478,23344,0,0,0,2,0,0,2,0,309892,368373,109493,200399,175352,193021,n9,false,0.4496085716567219,0.3467547303406848,0,4100,false,0,0,0.6984883332339332,0.36557837127056514,null
82417,721183,11107,58549,12761,249,10858,34746,23803,5273,7488,216,33,2685,8173,13565,0,8446,15357,1354,3919,1316,6172,42918,678265,11094,31822,2,5586,5508,4083,1503,5004,504,31822,0,8478,23344,0,0,0,2,0,0,2,0,309892,368373,109493,200399,175352,193021,n10,false,0.42437332915769704,0.6052875139547479,0,4100,false,0,0,0.6179265606682179,0.4620361204540254,null
82417,721183,11107,58549,12761,249,10858,34746,23803,5273,7488,216,33,2685,8173,13565,0,8446,15357,1354,3919,1316,6172,42918,678265,11094,31822,2,5586,5508,4083,1503,5004,504,31822,0,8478,23344,0,0,0,2,0,0,2,0,309892,368373,109493,200399,175352,193021,n12,false,0.8756299410920956,0.46931172469547855,0,4100,false,0,0,0.08411280914527236,0.5597288968719627,null
82417,721183,11107,58549,12761,249,10858,34746,23803,5273,7488,216,33,2685,8173,13565,0,8446,15357,1354,3919,1316,6172,42918,678265,11094,31822,2,5586,5508,4083,1503,5004,504,31822,0,8478,23344,0,0,0,2,0,0,2,0,309892,368373,109493,200399,175352,193021,n13,false,0.8280539974421538,0.770227106546004,0,2792,false,500,2,0.032908705347140965,0.05722521380729462,null
