nullrtA2a2A0,rtA2a2A1,rtA2a2A2,rtA2a2A3,rtA2a2A4,rtA2a2A5,rtA2a2A6,rtA2a2A7,rtA2a2A8,rtA2a2A9,rtA2a2A10,rtA2a2A11,rtA2a2A12,rtA2a2A13,rtA2a2A14,rtA2a2A15,rtA2a2A16,rtA2a2A17,rtA2a2A18,rtA2a2A19,rtA2a2A20,rtA2a2A21,rtA2a2A22,rtA2a2A23,rtA2a2A24,rtA2a2A25,rtA2a2A26,rtA2a2A27,rtA2a2A28,rtA2a2A29,rtA2a2A30,rtA2a2A31,rtA2a2A32,rtA2a2A33,rtA2a2A34,rtA2a2A35,rtA2a2A36,rtA2a2A37,rtA2a2A38,rtA2a2A39,rtA2a2A40,rtA2a2A41,rtA2a2A42,rtA2a2A43,rtA2a2A44,rtA2a2A45,rtA2a2A46,rtA2a2A47,rtA2a2A48,rtA2a2A49,rtA2a2A50,rtA2a2A51,rtA2a2A52,rtA2a2A53,rtA2a2A54,rtA2a2A55,rtA2a2A56,rtA2a2A57,rtA2a2A58,rtA2a2A59,rtA2a2A60,rtA2a2A61,rtA2a2A62,rtA2a2A63,rtA2a2A64,rtA2a2A65,rtA2a2A66,rtA2a2A67,rtA2a2A68,rtA2a2A69,rtA2a2A70,rtA2a2A71,rtA2a2A72,rtA2a2A73,rtA2a2A74,rtA2a2A75,rtA2a2A76,rtA2a2A77,rtA2a2A78,rtA2a2A79,rtA2a2A80,rtA2a2A81,rtA2a2A82,rtA2a2A83,rtA2a2A84,rtA2a2A85,rtA2a2A86,rtA2a2A87,rtA2a2A88,rtA2a2A89,rtA2a2A90,rtA2a2A91,rtA2a2A92,rtA2a2A93,rtA2a2A94,rtA2a2A95,rtA2a2A96,rtA2a2A97,rtA2a2A98,rtA2a2A99,rtA2a2A100,rtA2a2A101,rtA2a2A102,rtA2a2A103,rtA2a2A104,rtA2a2A105,rtA2a2A106,rtA2a2A107,rtA2a2A108,rtA2a2A109,rtA2a2A110,rtA2a2A111,rtA2a2A112,rtA2a2A113,rtA2a2A114,rtA2a2A115,rtA2a2A116,rtA2a2A117,rtA2a2A118,rtA2a2A119,rtA2a2A120,rtA2a2A121,rtA2a2A122,rtA2a2A123,rtA2a2A124,rtA2a2A125,rtA2a2A126,rtA2a2A127,rtA2a2A128,rtA2a2A129,rtA2a2A130,rtA2a2A131,rtA2a2A132,rtA2a2A133,rtA2a2A134,rtA2a2A135,rtA2a2A136,rtA2a2A137,rtA2a2A138,rtA2a2A139,rtA2a2A140,rtA2a2A141,rtA2a2A142,rtA2a2A143,rtA2a2A144,rtA2a2A145,rtA2a2A146,rtA2a2A147,rtA2a2A148,rtA2a2A149,rtA2a2A150,rtA2a2A151,rtA2a2A152,rtA2a2A153,rtA2a2A154,rtA2a2A155,rtA2a2A156,rtA2a2A157,rtA2a2A158,rtA2a2A159,rtA2a2A160,rtA2a2A161,rtA2a2A162,rtA2a2A163,rtA2a2A164,rtA2a2A165,rtA2a2A166,rtA2a2A167,rtA2a2A168,rtA2a2A169,rtA2a2A170,rtA2a2A171,rtA2a2A172,rtA2a2A173,rtA2a2A174,rtA2a2A175,rtA2a2A176,rtA2a2A177,rtA2a2A178,rtA2a2A179,rtA2a2A180,rtA2a2A181,rtA2a2A182,rtA2a2A183,rtA2a2A184,rtA2a2A185,rtA2a2A186,rtA2a2A187,rtA2a2A188,rtA2a2A189,rtA2a2A190,rtA2a2A191,rtA2a2A192,rtA2a2A193,rtA2a2A194,rtA2a2A195,rtA2a2A196,rtA2a2A197,rtA2a2A198,rtA2a2A199,rtA2a2A200,rtA2a2A201,rtA2a2A202,rtA2a2A203,rtA2a2A204,rtA2a2A205,rtA2a2A206,rtA2a2A207,rtA2a2A208,rtA2a2A209,rtA2a2A210,rtA2a2A211,rtA2a2A212,rtA2a2A213,rtA2a2A214,rtA2a2A215,rtA2a2A216,rtA2a2A217,rtA2a2A218,rtA2a2A219,rtA2a2A220,rtA2a2A221,rtA2a2A222,rtA2a2A223,rtA2a2A224,rtA2a2A225,rtA2a2A226,rtA2a2A227,rtA2a2A228,rtA2a2A229,rtA2a2A230,rtA2a2A231,rtA2a2A232,rtA2a2A233,rtA2a2A234,rtA2a2A235,rtA2a2A236,rtA2a2A237,rtA2a2A238,rtA2a2A239,rtA2a2A240,rtA2a2A241,rtA2a2A242,rtA2a2A243,rtA2a2A244,rtA2a2A245,rtA2a2A246,rtA2a2A247,rtA2a2A248,rtA2a2A249,rtA2a2A250,rtA2a2A251,rtA2a2A252,rtA2a2A253,rtA2a2A254,rtA2a2A255,rtA2a2A256,rtA2a2A257,rtA2a2A258,rtA2a2A259,rtA2a2A260,rtA2a2A261,rtA2a2A262,rtA2a2A263,rtA2a2A264,rtA2a2A265,rtA2a2A266,rtA2a2A267,rtA2a2A268,rtA2a2A269,rtA2a2A270,rtA2a2A271,rtA2a2A272,rtA2a2A273,rtA2a2A274,rtA2a2A275,rtA2a2A276,rtA2a2A277,rtA2a2A278,rtA2a2A279,rtA2a2A280,rtA2a2A281,rtA2a2A282,rtA2a2A283,rtA2a2A284,rtA2a2A285,rtA2a2A286,rtA2a2A287,rtA2a2A288,rtA2a2A289,rtA2a2A290,rtA2a2A291,rtA2a2A292,rtA2a2A293,rtA2a2A294,rtA2a2A295,rtA2a2A296,rtA2a2A297,rtA2a2A298,rtA2a2A299,rtA2a2A300
0,1963,16720,52679,52882,53091,53391,53641,53742,53844,53936,53937,53937,17368,54035,54134,54234,54335,54436,54437,54472,54574,54675,54776,17968,54875,55018,55119,55221,55320,55421,55442,55482,55583,55683,18503,55784,55884,55944,55982,55982,55982,56045,56246,56449,56649,19274,56850,56985,56985,56985,56992,57093,57233,57500,57797,58092,19954,58292,58453,58488,58488,58566,58667,58768,58890,59068,59338,20647,59635,59950,60354,60675,60832,60932,61016,61016,61016,61019,21320,61021,61021,61104,61204,61304,61405,61505,61524,61524,61525,22033,61625,61727,61895,62097,62494,62898,63294,63631,63931,64032,22656,64032,64106,64208,64334,64537,64735,64862,64963,65037,65164,4115,23200,65364,65566,65764,65966,66042,66087,66270,66472,66657,66757,23513,66815,66829,66928,67028,67129,67231,67374,67474,67573,67674,23878,67775,67819,67819,67828,67928,68061,68261,68459,68652,68752,24280,68821,68821,68822,68822,68823,68823,68828,68829,68829,68845,24602,68944,69145,69343,69543,69731,69911,70100,70301,70502,70700,25054,70866,71065,71263,71367,71469,71569,71666,71766,71814,71997,25554,72197,72400,72601,72801,72821,72822,72822,72822,72886,73088,26021,73286,73488,73688,73822,73917,74016,74116,74217,74317,74323,26510,74323,74323,74323,74323,74325,74325,74326,74327,74327,74327,26928,74327,74327,74328,74329,74329,74329,74329,74330,74330,74330,6356,27374,74330,27796,28307,28812,29340,29842,30315,30597,30795,31101,8656,31401,31822,32395,33095,33628,34079,34492,34849,35149,35449,11033,35698,35871,36034,36134,36303,36638,37138,37544,38069,38716,12225,39403,40003,40597,41072,41360,41450,41450,41452,41588,41788,13351,42083,42487,42886,43184,43482,43687,43793,43993,44164,44264,14469,44428,44621,44744,45103,45499,45953,46479,47101,47540,47942,15559,48228,48800,49391,50069,50807,51589,51985,52244,52368,52479
0,1963,16720,52679,52882,53091,53391,53641,53742,53844,53936,53937,53937,17368,54035,54134,54234,54335,54436,54437,54472,54574,54675,54776,17968,54875,55018,55119,55221,55320,55421,55442,55482,55583,55683,18503,55784,55884,55944,55982,55982,55982,56045,56246,56449,56649,19274,56850,56985,56985,56985,56992,57093,57233,57500,57797,58092,19954,58292,58453,58488,58488,58566,58667,58768,58890,59068,59338,20647,59635,59950,60354,60675,60832,60932,61016,61016,61016,61019,21320,61021,61021,61104,61204,61304,61405,61505,61524,61524,61525,22033,61625,61727,61895,62097,62494,62898,63294,63631,63931,64032,22656,64032,64106,64208,64334,64537,64735,64862,64963,65037,65164,4115,23200,65364,65566,65764,65966,66042,66087,66270,66472,66657,66757,23513,66815,66829,66928,67028,67129,67231,67374,67474,67573,67674,23878,67775,67819,67819,67828,67928,68061,68261,68459,68652,68752,24280,68821,68821,68822,68822,68823,68823,68828,68829,68829,68845,24602,68944,69145,69343,69543,69731,69911,70100,70301,70502,70700,25054,70866,71065,71263,71367,71469,71569,71666,71766,71814,71997,25554,72197,72400,72601,72801,72821,72822,72822,72822,72886,73088,26021,73286,73488,73688,73822,73917,74016,74116,74217,74317,74323,26510,74323,74323,74323,74323,74325,74325,74326,74327,74327,74327,26928,74327,74327,74328,74329,74329,74329,74329,74330,74330,74330,6356,27374,74330,27796,28307,28812,29340,29842,30315,30597,30795,31101,8656,31401,31822,32395,33095,33628,34079,34492,34849,35149,35449,11033,35698,35871,36034,36134,36303,36638,37138,37544,38069,38716,12225,39403,40003,40597,41072,41360,41450,41450,41452,41588,41788,13351,42083,42487,42886,43184,43482,43687,43793,43993,44164,44264,14469,44428,44621,44744,45103,45499,45953,46479,47101,47540,47942,15559,48228,48800,49391,50069,50807,51589,51985,52244,52368,52479
0,1963,16720,52679,52882,53091,53391,53641,53742,53844,53936,53937,53937,17368,54035,54134,54234,54335,54436,54437,54472,54574,54675,54776,17968,54875,55018,55119,55221,55320,55421,55442,55482,55583,55683,18503,55784,55884,55944,55982,55982,55982,56045,56246,56449,56649,19274,56850,56985,56985,56985,56992,57093,57233,57500,57797,58092,19954,58292,58453,58488,58488,58566,58667,58768,58890,59068,59338,20647,59635,59950,60354,60675,60832,60932,61016,61016,61016,61019,21320,61021,61021,61104,61204,61304,61405,61505,61524,61524,61525,22033,61625,61727,61895,62097,62494,62898,63294,63631,63931,64032,22656,64032,64106,64208,64334,64537,64735,64862,64963,65037,65164,4115,23200,65364,65566,65764,65966,66042,66087,66270,66472,66657,66757,23513,66815,66829,66928,67028,67129,67231,67374,67474,67573,67674,23878,67775,67819,67819,67828,67928,68061,68261,68459,68652,68752,24280,68821,68821,68822,68822,68823,68823,68828,68829,68829,68845,24602,68944,69145,69343,69543,69731,69911,70100,70301,70502,70700,25054,70866,71065,71263,71367,71469,71569,71666,71766,71814,71997,25554,72197,72400,72601,72801,72821,72822,72822,72822,72886,73088,26021,73286,73488,73688,73822,73917,74016,74116,74217,74317,74323,26510,74323,74323,74323,74323,74325,74325,74326,74327,74327,74327,26928,74327,74327,74328,74329,74329,74329,74329,74330,74330,74330,6356,27374,74330,27796,28307,28812,29340,29842,30315,30597,30795,31101,8656,31401,31822,32395,33095,33628,34079,34492,34849,35149,35449,11033,35698,35871,36034,36134,36303,36638,37138,37544,38069,38716,12225,39403,40003,40597,41072,41360,41450,41450,41452,41588,41788,13351,42083,42487,42886,43184,43482,43687,43793,43993,44164,44264,14469,44428,44621,44744,45103,45499,45953,46479,47101,47540,47942,15559,48228,48800,49391,50069,50807,51589,51985,52244,52368,52479
0,1963,16720,52679,52882,53091,53391,53641,53742,53844,53936,53937,53937,17368,54035,54134,54234,54335,54436,54437,54472,54574,54675,54776,17968,54875,55018,55119,55221,55320,55421,55442,55482,55583,55683,18503,55784,55884,55944,55982,55982,55982,56045,56246,56449,56649,19274,56850,56985,56985,56985,56992,57093,57233,57500,57797,58092,19954,58292,58453,58488,58488,58566,58667,58768,58890,59068,59338,20647,59635,59950,60354,60675,60832,60932,61016,61016,61016,61019,21320,61021,61021,61104,61204,61304,61405,61505,61524,61524,61525,22033,61625,61727,61895,62097,62494,62898,63294,63631,63931,64032,22656,64032,64106,64208,64334,64537,64735,64862,64963,65037,65164,4115,23200,65364,65566,65764,65966,66042,66087,66270,66472,66657,66757,23513,66815,66829,66928,67028,67129,67231,67374,67474,67573,67674,23878,67775,67819,67819,67828,67928,68061,68261,68459,68652,68752,24280,68821,68821,68822,68822,68823,68823,68828,68829,68829,68845,24602,68944,69145,69343,69543,69731,69911,70100,70301,70502,70700,25054,70866,71065,71263,71367,71469,71569,71666,71766,71814,71997,25554,72197,72400,72601,72801,72821,72822,72822,72822,72886,73088,26021,73286,73488,73688,73822,73917,74016,74116,74217,74317,74323,26510,74323,74323,74323,74323,74325,74325,74326,74327,74327,74327,26928,74327,74327,74328,74329,74329,74329,74329,74330,74330,74330,6356,27374,74330,27796,28307,28812,29340,29842,30315,30597,30795,31101,8656,31401,31822,32395,33095,33628,34079,34492,34849,35149,35449,11033,35698,35871,36034,36134,36303,36638,37138,37544,38069,38716,12225,39403,40003,40597,41072,41360,41450,41450,41452,41588,41788,13351,42083,42487,42886,43184,43482,43687,43793,43993,44164,44264,14469,44428,44621,44744,45103,45499,45953,46479,47101,47540,47942,15559,48228,48800,49391,50069,50807,51589,51985,52244,52368,52479
0,1963,16720,52679,52882,53091,53391,53641,53742,53844,53936,53937,53937,17368,54035,54134,54234,54335,54436,54437,54472,54574,54675,54776,17968,54875,55018,55119,55221,55320,55421,55442,55482,55583,55683,18503,55784,55884,55944,55982,55982,55982,56045,56246,56449,56649,19274,56850,56985,56985,56985,56992,57093,57233,57500,57797,58092,19954,58292,58453,58488,58488,58566,58667,58768,58890,59068,59338,20647,59635,59950,60354,60675,60832,60932,61016,61016,61016,61019,21320,61021,61021,61104,61204,61304,61405,61505,61524,61524,61525,22033,61625,61727,61895,62097,62494,62898,63294,63631,63931,64032,22656,64032,64106,64208,64334,64537,64735,64862,64963,65037,65164,4115,23200,65364,65566,65764,65966,66042,66087,66270,66472,66657,66757,23513,66815,66829,66928,67028,67129,67231,67374,67474,67573,67674,23878,67775,67819,67819,67828,67928,68061,68261,68459,68652,68752,24280,68821,68821,68822,68822,68823,68823,68828,68829,68829,68845,24602,68944,69145,69343,69543,69731,69911,70100,70301,70502,70700,25054,70866,71065,71263,71367,71469,71569,71666,71766,71814,71997,25554,72197,72400,72601,72801,72821,72822,72822,72822,72886,73088,26021,73286,73488,73688,73822,73917,74016,74116,74217,74317,74323,26510,74323,74323,74323,74323,74325,74325,74326,74327,74327,74327,26928,74327,74327,74328,74329,74329,74329,74329,74330,74330,74330,6356,27374,74330,27796,28307,28812,29340,29842,30315,30597,30795,31101,8656,31401,31822,32395,33095,33628,34079,34492,34849,35149,35449,11033,35698,35871,36034,36134,36303,36638,37138,37544,38069,38716,12225,39403,40003,40597,41072,41360,41450,41450,41452,41588,41788,13351,42083,42487,42886,43184,43482,43687,43793,43993,44164,44264,14469,44428,44621,44744,45103,45499,45953,46479,47101,47540,47942,15559,48228,48800,49391,50069,50807,51589,51985,52244,52368,52479
0,1963,16720,52679,52882,53091,53391,53641,53742,53844,53936,53937,53937,17368,54035,54134,54234,54335,54436,54437,54472,54574,54675,54776,17968,54875,55018,55119,55221,55320,55421,55442,55482,55583,55683,18503,55784,55884,55944,55982,55982,55982,56045,56246,56449,56649,19274,56850,56985,56985,56985,56992,57093,57233,57500,57797,58092,19954,58292,58453,58488,58488,58566,58667,58768,58890,59068,59338,20647,59635,59950,60354,60675,60832,60932,61016,61016,61016,61019,21320,61021,61021,61104,61204,61304,61405,61505,61524,61524,61525,22033,61625,61727,61895,62097,62494,62898,63294,63631,63931,64032,22656,64032,64106,64208,64334,64537,64735,64862,64963,65037,65164,4115,23200,65364,65566,65764,65966,66042,66087,66270,66472,66657,66757,23513,66815,66829,66928,67028,67129,67231,67374,67474,67573,67674,23878,67775,67819,67819,67828,67928,68061,68261,68459,68652,68752,24280,68821,68821,68822,68822,68823,68823,68828,68829,68829,68845,24602,68944,69145,69343,69543,69731,69911,70100,70301,70502,70700,25054,70866,71065,71263,71367,71469,71569,71666,71766,71814,71997,25554,72197,72400,72601,72801,72821,72822,72822,72822,72886,73088,26021,73286,73488,73688,73822,73917,74016,74116,74217,74317,74323,26510,74323,74323,74323,74323,74325,74325,74326,74327,74327,74327,26928,74327,74327,74328,74329,74329,74329,74329,74330,74330,74330,6356,27374,74330,27796,28307,28812,29340,29842,30315,30597,30795,31101,8656,31401,31822,32395,33095,33628,34079,34492,34849,35149,35449,11033,35698,35871,36034,36134,36303,36638,37138,37544,38069,38716,12225,39403,40003,40597,41072,41360,41450,41450,41452,41588,41788,13351,42083,42487,42886,43184,43482,43687,43793,43993,44164,44264,14469,44428,44621,44744,45103,45499,45953,46479,47101,47540,47942,15559,48228,48800,49391,50069,50807,51589,51985,52244,52368,52479
0,1963,16720,52679,52882,53091,53391,53641,53742,53844,53936,53937,53937,17368,54035,54134,54234,54335,54436,54437,54472,54574,54675,54776,17968,54875,55018,55119,55221,55320,55421,55442,55482,55583,55683,18503,55784,55884,55944,55982,55982,55982,56045,56246,56449,56649,19274,56850,56985,56985,56985,56992,57093,57233,57500,57797,58092,19954,58292,58453,58488,58488,58566,58667,58768,58890,59068,59338,20647,59635,59950,60354,60675,60832,60932,61016,61016,61016,61019,21320,61021,61021,61104,61204,61304,61405,61505,61524,61524,61525,22033,61625,61727,61895,62097,62494,62898,63294,63631,63931,64032,22656,64032,64106,64208,64334,64537,64735,64862,64963,65037,65164,4115,23200,65364,65566,65764,65966,66042,66087,66270,66472,66657,66757,23513,66815,66829,66928,67028,67129,67231,67374,67474,67573,67674,23878,67775,67819,67819,67828,67928,68061,68261,68459,68652,68752,24280,68821,68821,68822,68822,68823,68823,68828,68829,68829,68845,24602,68944,69145,69343,69543,69731,69911,70100,70301,70502,70700,25054,70866,71065,71263,71367,71469,71569,71666,71766,71814,71997,25554,72197,72400,72601,72801,72821,72822,72822,72822,72886,73088,26021,73286,73488,73688,73822,73917,74016,74116,74217,74317,74323,26510,74323,74323,74323,74323,74325,74325,74326,74327,74327,74327,26928,74327,74327,74328,74329,74329,74329,74329,74330,74330,74330,6356,27374,74330,27796,28307,28812,29340,29842,30315,30597,30795,31101,8656,31401,31822,32395,33095,33628,34079,34492,34849,35149,35449,11033,35698,35871,36034,36134,36303,36638,37138,37544,38069,38716,12225,39403,40003,40597,41072,41360,41450,41450,41452,41588,41788,13351,42083,42487,42886,43184,43482,43687,43793,43993,44164,44264,14469,44428,44621,44744,45103,45499,45953,46479,47101,47540,47942,15559,48228,48800,49391,50069,50807,51589,51985,52244,52368,52479
0,1963,16720,52679,52882,53091,53391,53641,53742,53844,53936,53937,53937,17368,54035,54134,54234,54335,54436,54437,54472,54574,54675,54776,17968,54875,55018,55119,55221,55320,55421,55442,55482,55583,55683,18503,55784,55884,55944,55982,55982,55982,56045,56246,56449,56649,19274,56850,56985,56985,56985,56992,57093,57233,57500,57797,58092,19954,58292,58453,58488,58488,58566,58667,58768,58890,59068,59338,20647,59635,59950,60354,60675,60832,60932,61016,61016,61016,61019,21320,61021,61021,61104,61204,61304,61405,61505,61524,61524,61525,22033,61625,61727,61895,62097,62494,62898,63294,63631,63931,64032,22656,64032,64106,64208,64334,64537,64735,64862,64963,65037,65164,4115,23200,65364,65566,65764,65966,66042,66087,66270,66472,66657,66757,23513,66815,66829,66928,67028,67129,67231,67374,67474,67573,67674,23878,67775,67819,67819,67828,67928,68061,68261,68459,68652,68752,24280,68821,68821,68822,68822,68823,68823,68828,68829,68829,68845,24602,68944,69145,69343,69543,69731,69911,70100,70301,70502,70700,25054,70866,71065,71263,71367,71469,71569,71666,71766,71814,71997,25554,72197,72400,72601,72801,72821,72822,72822,72822,72886,73088,26021,73286,73488,73688,73822,73917,74016,74116,74217,74317,74323,26510,74323,74323,74323,74323,74325,74325,74326,74327,74327,74327,26928,74327,74327,74328,74329,74329,74329,74329,74330,74330,74330,6356,27374,74330,27796,28307,28812,29340,29842,30315,30597,30795,31101,8656,31401,31822,32395,33095,33628,34079,34492,34849,35149,35449,11033,35698,35871,36034,36134,36303,36638,37138,37544,38069,38716,12225,39403,40003,40597,41072,41360,41450,41450,41452,41588,41788,13351,42083,42487,42886,43184,43482,43687,43793,43993,44164,44264,14469,44428,44621,44744,45103,45499,45953,46479,47101,47540,47942,15559,48228,48800,49391,50069,50807,51589,51985,52244,52368,52479
0,1963,16720,52679,52882,53091,53391,53641,53742,53844,53936,53937,53937,17368,54035,54134,54234,54335,54436,54437,54472,54574,54675,54776,17968,54875,55018,55119,55221,55320,55421,55442,55482,55583,55683,18503,55784,55884,55944,55982,55982,55982,56045,56246,56449,56649,19274,56850,56985,56985,56985,56992,57093,57233,57500,57797,58092,19954,58292,58453,58488,58488,58566,58667,58768,58890,59068,59338,20647,59635,59950,60354,60675,60832,60932,61016,61016,61016,61019,21320,61021,61021,61104,61204,61304,61405,61505,61524,61524,61525,22033,61625,61727,61895,62097,62494,62898,63294,63631,63931,64032,22656,64032,64106,64208,64334,64537,64735,64862,64963,65037,65164,4115,23200,65364,65566,65764,65966,66042,66087,66270,66472,66657,66757,23513,66815,66829,66928,67028,67129,67231,67374,67474,67573,67674,23878,67775,67819,67819,67828,67928,68061,68261,68459,68652,68752,24280,68821,68821,68822,68822,68823,68823,68828,68829,68829,68845,24602,68944,69145,69343,69543,69731,69911,70100,70301,70502,70700,25054,70866,71065,71263,71367,71469,71569,71666,71766,71814,71997,25554,72197,72400,72601,72801,72821,72822,72822,72822,72886,73088,26021,73286,73488,73688,73822,73917,74016,74116,74217,74317,74323,26510,74323,74323,74323,74323,74325,74325,74326,74327,74327,74327,26928,74327,74327,74328,74329,74329,74329,74329,74330,74330,74330,6356,27374,74330,27796,28307,28812,29340,29842,30315,30597,30795,31101,8656,31401,31822,32395,33095,33628,34079,34492,34849,35149,35449,11033,35698,35871,36034,36134,36303,36638,37138,37544,38069,38716,12225,39403,40003,40597,41072,41360,41450,41450,41452,41588,41788,13351,42083,42487,42886,43184,43482,43687,43793,43993,44164,44264,14469,44428,44621,44744,45103,45499,45953,46479,47101,47540,47942,15559,48228,48800,49391,50069,50807,51589,51985,52244,52368,52479
0,1963,16720,52679,52882,53091,53391,53641,53742,53844,53936,53937,53937,17368,54035,54134,54234,54335,54436,54437,54472,54574,54675,54776,17968,54875,55018,55119,55221,55320,55421,55442,55482,55583,55683,18503,55784,55884,55944,55982,55982,55982,56045,56246,56449,56649,19274,56850,56985,56985,56985,56992,57093,57233,57500,57797,58092,19954,58292,58453,58488,58488,58566,58667,58768,58890,59068,59338,20647,59635,59950,60354,60675,60832,60932,61016,61016,61016,61019,21320,61021,61021,61104,61204,61304,61405,61505,61524,61524,61525,22033,61625,61727,61895,62097,62494,62898,63294,63631,63931,64032,22656,64032,64106,64208,64334,64537,64735,64862,64963,65037,65164,4115,23200,65364,65566,65764,65966,66042,66087,66270,66472,66657,66757,23513,66815,66829,66928,67028,67129,67231,67374,67474,67573,67674,23878,67775,67819,67819,67828,67928,68061,68261,68459,68652,68752,24280,68821,68821,68822,68822,68823,68823,68828,68829,68829,68845,24602,68944,69145,69343,69543,69731,69911,70100,70301,70502,70700,25054,70866,71065,71263,71367,71469,71569,71666,71766,71814,71997,25554,72197,72400,72601,72801,72821,72822,72822,72822,72886,73088,26021,73286,73488,73688,73822,73917,74016,74116,74217,74317,74323,26510,74323,74323,74323,74323,74325,74325,74326,74327,74327,74327,26928,74327,74327,74328,74329,74329,74329,74329,74330,74330,74330,6356,27374,74330,27796,28307,28812,29340,29842,30315,30597,30795,31101,8656,31401,31822,32395,33095,33628,34079,34492,34849,35149,35449,11033,35698,35871,36034,36134,36303,36638,37138,37544,38069,38716,12225,39403,40003,40597,41072,41360,41450,41450,41452,41588,41788,13351,42083,42487,42886,43184,43482,43687,43793,43993,44164,44264,14469,44428,44621,44744,45103,45499,45953,46479,47101,47540,47942,15559,48228,48800,49391,50069,50807,51589,51985,52244,52368,52479
0,1963,16720,52679,52882,53091,53391,53641,53742,53844,53936,53937,53937,17368,54035,54134,54234,54335,54436,54437,54472,54574,54675,54776,17968,54875,55018,55119,55221,55320,55421,55442,55482,55583,55683,18503,55784,55884,55944,55982,55982,55982,56045,56246,56449,56649,19274,56850,56985,56985,56985,56992,57093,57233,57500,57797,58092,19954,58292,58453,58488,58488,58566,58667,58768,58890,59068,59338,20647,59635,59950,60354,60675,60832,60932,61016,61016,61016,61019,21320,61021,61021,61104,61204,61304,61405,61505,61524,61524,61525,22033,61625,61727,61895,62097,62494,62898,63294,63631,63931,64032,22656,64032,64106,64208,64334,64537,64735,64862,64963,65037,65164,4115,23200,65364,65566,65764,65966,66042,66087,66270,66472,66657,66757,23513,66815,66829,66928,67028,67129,67231,67374,67474,67573,67674,23878,67775,67819,67819,67828,67928,68061,68261,68459,68652,68752,24280,68821,68821,68822,68822,68823,68823,68828,68829,68829,68845,24602,68944,69145,69343,69543,69731,69911,70100,70301,70502,70700,25054,70866,71065,71263,71367,71469,71569,71666,71766,71814,71997,25554,72197,72400,72601,72801,72821,72822,72822,72822,72886,73088,26021,73286,73488,73688,73822,73917,74016,74116,74217,74317,74323,26510,74323,74323,74323,74323,74325,74325,74326,74327,74327,74327,26928,74327,74327,74328,74329,74329,74329,74329,74330,74330,74330,6356,27374,74330,27796,28307,28812,29340,29842,30315,30597,30795,31101,8656,31401,31822,32395,33095,33628,34079,34492,34849,35149,35449,11033,35698,35871,36034,36134,36303,36638,37138,37544,38069,38716,12225,39403,40003,40597,41072,41360,41450,41450,41452,41588,41788,13351,42083,42487,42886,43184,43482,43687,43793,43993,44164,44264,14469,44428,44621,44744,45103,45499,45953,46479,47101,47540,47942,15559,48228,48800,49391,50069,50807,51589,51985,52244,52368,52479
0,1963,16720,52679,52882,53091,53391,53641,53742,53844,53936,53937,53937,17368,54035,54134,54234,54335,54436,54437,54472,54574,54675,54776,17968,54875,55018,55119,55221,55320,55421,55442,55482,55583,55683,18503,55784,55884,55944,55982,55982,55982,56045,56246,56449,56649,19274,56850,56985,56985,56985,56992,57093,57233,57500,57797,58092,19954,58292,58453,58488,58488,58566,58667,58768,58890,59068,59338,20647,59635,59950,60354,60675,60832,60932,61016,61016,61016,61019,21320,61021,61021,61104,61204,61304,61405,61505,61524,61524,61525,22033,61625,61727,61895,62097,62494,62898,63294,63631,63931,64032,22656,64032,64106,64208,64334,64537,64735,64862,64963,65037,65164,4115,23200,65364,65566,65764,65966,66042,66087,66270,66472,66657,66757,23513,66815,66829,66928,67028,67129,67231,67374,67474,67573,67674,23878,67775,67819,67819,67828,67928,68061,68261,68459,68652,68752,24280,68821,68821,68822,68822,68823,68823,68828,68829,68829,68845,24602,68944,69145,69343,69543,69731,69911,70100,70301,70502,70700,25054,70866,71065,71263,71367,71469,71569,71666,71766,71814,71997,25554,72197,72400,72601,72801,72821,72822,72822,72822,72886,73088,26021,73286,73488,73688,73822,73917,74016,74116,74217,74317,74323,26510,74323,74323,74323,74323,74325,74325,74326,74327,74327,74327,26928,74327,74327,74328,74329,74329,74329,74329,74330,74330,74330,6356,27374,74330,27796,28307,28812,29340,29842,30315,30597,30795,31101,8656,31401,31822,32395,33095,33628,34079,34492,34849,35149,35449,11033,35698,35871,36034,36134,36303,36638,37138,37544,38069,38716,12225,39403,40003,40597,41072,41360,41450,41450,41452,41588,41788,13351,42083,42487,42886,43184,43482,43687,43793,43993,44164,44264,14469,44428,44621,44744,45103,45499,45953,46479,47101,47540,47942,15559,48228,48800,49391,50069,50807,51589,51985,52244,52368,52479
