nullgivingUp0,givingUp1,givingUp2,givingUp3,givingUp4,givingUp5,givingUp6,givingUp7,givingUp8,givingUp9,givingUp10,givingUp11,givingUp12
false,false,true,true,true,true,true,true,true,true,true,true,true
true,true,true,true,true,true,true,true,true,true,true,true,true
false,false,true,true,true,true,true,true,true,true,true,true,true
true,true,true,true,true,true,true,true,true,true,true,true,true
false,true,true,true,true,true,true,true,true,true,true,true,true
false,false,true,true,true,false,true,true,true,true,true,true,true
false,false,false,false,false,false,false,false,false,false,false,false,false
false,true,true,true,true,true,true,true,true,true,true,true,true
false,true,true,true,true,true,true,true,true,true,true,true,true
false,false,true,true,true,true,true,true,true,true,true,true,true
false,false,true,true,true,false,true,true,true,true,true,true,true
false,false,true,true,true,false,false,true,true,true,true,true,true
false,false,true,true,true,false,false,false,true,true,true,true,true
false,true,true,true,true,true,true,true,true,true,true,true,true
false,false,true,true,true,false,true,true,true,true,true,true,true
false,true,true,true,true,true,true,true,true,true,true,true,true
true,true,true,true,true,true,true,true,true,true,true,true,true
false,true,true,true,true,true,true,true,true,true,true,true,true
false,false,true,true,true,false,false,true,true,true,true,true,true
true,true,true,true,true,true,true,true,true,true,true,true,true
false,false,false,false,false,false,false,false,false,false,false,false,false
false,true,true,true,true,true,true,true,true,true,true,true,true
false,false,true,true,true,false,false,false,false,true,true,true,true
false,false,true,true,true,true,true,true,true,true,true,true,true
false,false,true,true,true,false,false,true,true,true,true,true,true
false,false,true,true,true,true,true,true,true,true,true,true,true
true,true,true,true,true,true,true,true,true,true,true,true,true
false,false,true,true,true,false,false,true,true,true,true,true,true
false,false,true,true,true,false,false,true,true,true,true,true,true
false,false,true,true,true,false,true,true,true,true,true,true,true
false,true,true,true,true,true,true,true,true,true,true,true,true
true,true,true,true,true,true,true,true,true,true,true,true,true
false,false,true,true,true,true,true,true,true,true,true,true,true
false,true,true,true,true,true,true,true,true,true,true,true,true
true,true,true,true,true,true,true,true,true,true,true,true,true
false,true,true,true,true,true,true,true,true,true,true,true,true
