nullstepsSinceGiveUp0,stepsSinceGiveUp1,stepsSinceGiveUp2,stepsSinceGiveUp3,stepsSinceGiveUp4,stepsSinceGiveUp5,stepsSinceGiveUp6,stepsSinceGiveUp7,stepsSinceGiveUp8,stepsSinceGiveUp9,stepsSinceGiveUp10,stepsSinceGiveUp11,stepsSinceGiveUp12,stepsSinceGiveUp13,stepsSinceGiveUp14,stepsSinceGiveUp15,stepsSinceGiveUp16,stepsSinceGiveUp17,stepsSinceGiveUp18,stepsSinceGiveUp19,stepsSinceGiveUp20,stepsSinceGiveUp21,stepsSinceGiveUp22,stepsSinceGiveUp23,stepsSinceGiveUp24,stepsSinceGiveUp25,stepsSinceGiveUp26,stepsSinceGiveUp27,stepsSinceGiveUp28,stepsSinceGiveUp29,stepsSinceGiveUp30,stepsSinceGiveUp31,stepsSinceGiveUp32,stepsSinceGiveUp33,stepsSinceGiveUp34,stepsSinceGiveUp35,stepsSinceGiveUp36,stepsSinceGiveUp37,stepsSinceGiveUp38,stepsSinceGiveUp39,stepsSinceGiveUp40,stepsSinceGiveUp41,stepsSinceGiveUp42,stepsSinceGiveUp43,stepsSinceGiveUp44,stepsSinceGiveUp45,stepsSinceGiveUp46,stepsSinceGiveUp47,stepsSinceGiveUp48,stepsSinceGiveUp49,stepsSinceGiveUp50,stepsSinceGiveUp51,stepsSinceGiveUp52,stepsSinceGiveUp53,stepsSinceGiveUp54,stepsSinceGiveUp55,stepsSinceGiveUp56,stepsSinceGiveUp57,stepsSinceGiveUp58,stepsSinceGiveUp59,stepsSinceGiveUp60,stepsSinceGiveUp61,stepsSinceGiveUp62,stepsSinceGiveUp63,stepsSinceGiveUp64,stepsSinceGiveUp65,stepsSinceGiveUp66,stepsSinceGiveUp67,stepsSinceGiveUp68,stepsSinceGiveUp69,stepsSinceGiveUp70,stepsSinceGiveUp71,stepsSinceGiveUp72,stepsSinceGiveUp73,stepsSinceGiveUp74,stepsSinceGiveUp75,stepsSinceGiveUp76,stepsSinceGiveUp77,stepsSinceGiveUp78,stepsSinceGiveUp79,stepsSinceGiveUp80,stepsSinceGiveUp81,stepsSinceGiveUp82,stepsSinceGiveUp83,stepsSinceGiveUp84,stepsSinceGiveUp85,stepsSinceGiveUp86,stepsSinceGiveUp87,stepsSinceGiveUp88,stepsSinceGiveUp89,stepsSinceGiveUp90,stepsSinceGiveUp91,stepsSinceGiveUp92,stepsSinceGiveUp93,stepsSinceGiveUp94,stepsSinceGiveUp95,stepsSinceGiveUp96,stepsSinceGiveUp97,stepsSinceGiveUp98,stepsSinceGiveUp99,stepsSinceGiveUp100,stepsSinceGiveUp101,stepsSinceGiveUp102,stepsSinceGiveUp103,stepsSinceGiveUp104,stepsSinceGiveUp105,stepsSinceGiveUp106,stepsSinceGiveUp107,stepsSinceGiveUp108,stepsSinceGiveUp109,stepsSinceGiveUp110,stepsSinceGiveUp111,stepsSinceGiveUp112,stepsSinceGiveUp113,stepsSinceGiveUp114,stepsSinceGiveUp115,stepsSinceGiveUp116,stepsSinceGiveUp117,stepsSinceGiveUp118,stepsSinceGiveUp119,stepsSinceGiveUp120,stepsSinceGiveUp121,stepsSinceGiveUp122,stepsSinceGiveUp123,stepsSinceGiveUp124,stepsSinceGiveUp125,stepsSinceGiveUp126,stepsSinceGiveUp127,stepsSinceGiveUp128,stepsSinceGiveUp129,stepsSinceGiveUp130,stepsSinceGiveUp131,stepsSinceGiveUp132,stepsSinceGiveUp133,stepsSinceGiveUp134,stepsSinceGiveUp135,stepsSinceGiveUp136,stepsSinceGiveUp137,stepsSinceGiveUp138,stepsSinceGiveUp139,stepsSinceGiveUp140,stepsSinceGiveUp141,stepsSinceGiveUp142,stepsSinceGiveUp143,stepsSinceGiveUp144,stepsSinceGiveUp145,stepsSinceGiveUp146,stepsSinceGiveUp147,stepsSinceGiveUp148,stepsSinceGiveUp149,stepsSinceGiveUp150,stepsSinceGiveUp151,stepsSinceGiveUp152,stepsSinceGiveUp153,stepsSinceGiveUp154,stepsSinceGiveUp155,stepsSinceGiveUp156,stepsSinceGiveUp157,stepsSinceGiveUp158,stepsSinceGiveUp159,stepsSinceGiveUp160,stepsSinceGiveUp161,stepsSinceGiveUp162,stepsSinceGiveUp163,stepsSinceGiveUp164,stepsSinceGiveUp165,stepsSinceGiveUp166,stepsSinceGiveUp167,stepsSinceGiveUp168,stepsSinceGiveUp169,stepsSinceGiveUp170,stepsSinceGiveUp171,stepsSinceGiveUp172,stepsSinceGiveUp173,stepsSinceGiveUp174,stepsSinceGiveUp175,stepsSinceGiveUp176,stepsSinceGiveUp177,stepsSinceGiveUp178,stepsSinceGiveUp179,stepsSinceGiveUp180,stepsSinceGiveUp181,stepsSinceGiveUp182,stepsSinceGiveUp183,stepsSinceGiveUp184,stepsSinceGiveUp185,stepsSinceGiveUp186,stepsSinceGiveUp187,stepsSinceGiveUp188,stepsSinceGiveUp189,stepsSinceGiveUp190,stepsSinceGiveUp191,stepsSinceGiveUp192,stepsSinceGiveUp193,stepsSinceGiveUp194,stepsSinceGiveUp195,stepsSinceGiveUp196,stepsSinceGiveUp197,stepsSinceGiveUp198,stepsSinceGiveUp199,stepsSinceGiveUp200,stepsSinceGiveUp201,stepsSinceGiveUp202,stepsSinceGiveUp203,stepsSinceGiveUp204,stepsSinceGiveUp205,stepsSinceGiveUp206,stepsSinceGiveUp207,stepsSinceGiveUp208,stepsSinceGiveUp209,stepsSinceGiveUp210,stepsSinceGiveUp211,stepsSinceGiveUp212,stepsSinceGiveUp213,stepsSinceGiveUp214,stepsSinceGiveUp215,stepsSinceGiveUp216,stepsSinceGiveUp217,stepsSinceGiveUp218,stepsSinceGiveUp219,stepsSinceGiveUp220,stepsSinceGiveUp221,stepsSinceGiveUp222,stepsSinceGiveUp223,stepsSinceGiveUp224,stepsSinceGiveUp225,stepsSinceGiveUp226,stepsSinceGiveUp227,stepsSinceGiveUp228,stepsSinceGiveUp229,stepsSinceGiveUp230,stepsSinceGiveUp231,stepsSinceGiveUp232,stepsSinceGiveUp233,stepsSinceGiveUp234,stepsSinceGiveUp235,stepsSinceGiveUp236,stepsSinceGiveUp237,stepsSinceGiveUp238,stepsSinceGiveUp239,stepsSinceGiveUp240,stepsSinceGiveUp241,stepsSinceGiveUp242,stepsSinceGiveUp243,stepsSinceGiveUp244,stepsSinceGiveUp245,stepsSinceGiveUp246,stepsSinceGiveUp247,stepsSinceGiveUp248,stepsSinceGiveUp249,stepsSinceGiveUp250,stepsSinceGiveUp251,stepsSinceGiveUp252,stepsSinceGiveUp253,stepsSinceGiveUp254,stepsSinceGiveUp255,stepsSinceGiveUp256,stepsSinceGiveUp257,stepsSinceGiveUp258,stepsSinceGiveUp259,stepsSinceGiveUp260,stepsSinceGiveUp261,stepsSinceGiveUp262,stepsSinceGiveUp263,stepsSinceGiveUp264,stepsSinceGiveUp265,stepsSinceGiveUp266,stepsSinceGiveUp267,stepsSinceGiveUp268,stepsSinceGiveUp269,stepsSinceGiveUp270,stepsSinceGiveUp271,stepsSinceGiveUp272,stepsSinceGiveUp273,stepsSinceGiveUp274,stepsSinceGiveUp275,stepsSinceGiveUp276,stepsSinceGiveUp277,stepsSinceGiveUp278,stepsSinceGiveUp279,stepsSinceGiveUp280,stepsSinceGiveUp281,stepsSinceGiveUp282,stepsSinceGiveUp283,stepsSinceGiveUp284,stepsSinceGiveUp285,stepsSinceGiveUp286,stepsSinceGiveUp287,stepsSinceGiveUp288,stepsSinceGiveUp289,stepsSinceGiveUp290,stepsSinceGiveUp291,stepsSinceGiveUp292,stepsSinceGiveUp293,stepsSinceGiveUp294,stepsSinceGiveUp295,stepsSinceGiveUp296,stepsSinceGiveUp297,stepsSinceGiveUp298,stepsSinceGiveUp299,stepsSinceGiveUp300
0,0,0,500,500,500,500,500,500,500,500,500,500,0,500,500,500,500,500,500,500,500,500,500,0,500,500,500,500,500,500,500,500,500,500,0,500,500,500,500,500,500,500,500,500,500,0,500,500,500,500,500,500,500,500,500,500,0,500,500,500,500,500,500,500,500,500,500,0,500,500,500,500,500,500,500,500,500,500,0,500,500,500,500,500,500,500,500,500,500,0,500,501,501,501,501,501,501,501,501,501,0,501,501,501,501,501,501,501,501,501,501,0,0,501,501,501,501,501,501,501,501,501,501,0,501,501,502,502,502,502,502,502,502,502,0,502,502,502,502,502,502,502,502,502,502,0,502,502,502,502,502,502,503,503,503,503,0,503,503,503,503,503,503,503,503,503,503,0,503,503,503,503,503,503,503,503,503,503,0,503,503,503,503,503,503,503,503,503,503,0,503,503,503,503,503,503,503,503,503,503,0,503,503,503,503,504,504,504,504,504,504,0,504,504,504,505,505,505,505,505,505,505,0,0,505,0,0,0,0,0,0,0,0,0,0,0,0,56,156,255,355,455,500,500,500,0,500,500,500,500,500,500,500,500,500,500,0,500,500,500,500,500,500,500,500,500,500,0,500,500,500,500,500,500,500,500,500,500,0,500,500,500,500,500,500,500,500,500,500,0,500,500,500,500,500,500,500,500,500,500
0,0,0,500,500,500,500,500,500,500,500,500,500,0,500,500,500,500,500,500,500,500,500,500,0,500,500,500,500,500,500,500,500,500,500,0,500,500,500,500,500,500,500,500,500,500,0,500,500,500,500,500,500,500,500,500,500,0,500,500,500,500,500,500,500,500,500,500,0,500,500,500,500,500,500,500,500,500,500,0,500,500,500,500,500,500,500,500,500,500,0,500,500,500,500,500,500,500,500,500,500,0,500,500,500,500,500,500,500,500,500,500,0,0,500,500,500,500,500,500,500,500,500,500,0,500,500,500,500,500,500,500,500,500,500,0,500,500,500,500,500,500,500,500,500,500,0,500,500,500,500,500,500,500,500,500,500,0,500,500,500,500,500,500,500,501,501,501,0,501,501,501,501,501,501,501,501,501,501,0,501,501,501,501,501,501,501,501,501,501,0,501,501,501,501,501,501,501,501,501,501,0,501,501,501,501,501,501,501,501,501,501,0,501,501,501,501,501,501,501,501,501,501,0,0,501,7,107,208,308,408,500,500,500,500,0,500,500,500,500,500,500,500,500,500,500,0,500,500,500,500,500,500,500,500,500,500,0,500,500,500,500,500,500,500,500,500,500,0,500,500,500,500,500,500,500,500,500,500,0,500,500,500,500,500,500,500,500,500,500,0,500,500,500,500,500,500,500,500,500,500
0,0,0,500,500,500,500,500,500,500,500,500,500,0,500,500,500,500,500,500,500,500,500,500,0,500,500,500,500,500,500,500,500,500,500,0,500,500,500,500,500,500,500,500,500,500,0,500,500,500,500,500,500,500,500,500,500,0,500,500,500,500,500,500,500,500,500,500,0,500,500,500,500,500,500,500,500,500,500,0,500,500,500,500,500,500,500,500,500,500,0,500,500,500,500,500,500,500,500,500,500,0,500,500,500,500,500,500,500,500,500,500,0,0,500,500,500,500,500,500,500,500,500,500,0,500,500,500,500,500,500,500,500,500,500,0,500,500,500,500,500,500,500,500,500,500,0,500,500,500,500,500,500,500,500,500,500,0,500,500,500,500,500,500,500,500,500,500,0,500,500,500,500,500,500,500,500,500,500,0,500,500,500,500,500,500,500,500,500,500,0,500,500,500,500,500,500,500,500,500,500,0,500,500,500,500,500,500,500,500,500,500,0,500,500,500,500,500,500,500,500,500,500,0,0,500,0,0,0,0,0,0,0,0,78,0,178,279,379,479,500,500,500,500,500,500,0,500,500,500,500,500,500,500,500,500,500,0,500,500,500,500,500,500,500,500,500,500,0,500,500,500,500,500,500,500,500,500,500,0,500,500,500,500,500,500,500,500,500,500,0,500,500,500,500,500,500,500,500,500,500
0,0,53,501,501,501,501,501,501,501,501,501,501,152,501,501,501,501,501,501,501,501,501,501,252,501,501,501,501,501,501,501,501,501,501,353,501,501,501,501,501,501,501,501,501,501,452,501,501,501,501,501,501,501,501,501,501,500,501,501,501,501,501,501,501,501,501,501,500,501,501,501,501,501,501,501,501,501,501,500,501,501,501,501,501,501,501,501,501,501,500,501,501,501,501,501,501,501,501,501,501,500,501,501,501,501,501,501,501,501,501,501,0,500,501,501,501,501,501,501,501,501,501,501,500,501,501,501,501,501,501,501,501,501,501,500,501,501,501,501,501,501,501,501,501,501,500,501,501,501,501,501,501,502,502,502,502,500,502,502,502,502,502,502,502,502,502,502,500,502,502,502,502,502,502,502,502,502,502,500,502,502,502,502,502,502,502,502,502,502,500,502,502,502,502,502,502,502,502,502,502,500,502,502,502,502,502,502,502,502,502,502,500,502,502,502,502,502,502,503,503,503,503,0,500,503,501,501,501,501,501,501,501,501,501,0,501,501,501,501,501,501,501,501,501,501,0,501,501,501,501,501,501,501,501,501,501,0,501,501,501,501,501,501,501,501,501,501,0,501,501,501,501,501,501,501,501,501,501,0,501,501,501,501,501,501,501,501,501,501,0,501,501,501,501,501,501,501,501,501,501
0,0,0,500,500,500,500,500,500,500,500,500,500,0,500,500,500,500,500,500,500,500,500,500,0,500,500,500,500,500,500,500,500,500,500,0,500,500,500,500,500,500,500,500,500,500,0,500,500,500,500,500,500,500,500,500,500,0,500,500,500,500,500,500,500,500,500,500,0,500,500,500,500,500,500,500,500,500,500,0,500,500,500,500,500,500,500,500,500,500,0,500,500,500,500,500,500,500,500,500,500,94,500,500,500,500,500,500,500,500,500,500,0,193,500,500,500,500,500,500,501,501,501,501,294,501,501,501,501,501,501,501,501,501,501,393,501,501,501,501,501,501,501,501,501,501,494,501,501,501,501,501,502,502,502,502,502,500,502,502,502,502,502,502,502,502,502,502,500,502,502,502,502,502,502,502,502,502,503,500,503,503,503,503,503,503,503,503,503,503,500,503,503,503,503,503,503,503,503,503,503,500,503,503,503,503,503,503,503,503,503,503,500,503,503,503,503,503,503,503,503,503,503,0,500,503,500,500,500,500,500,500,500,500,500,0,500,500,500,500,500,500,500,500,500,500,0,500,500,500,500,500,500,500,500,500,500,0,500,500,500,500,500,500,500,500,500,500,0,500,500,500,500,500,500,500,500,500,500,0,500,500,500,500,500,500,500,500,500,500,0,500,500,500,500,500,500,500,500,500,500
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,194,295,395,495,500,500,500,500,500,500,0,500,500,500,500,500,500,500,500,500,500,0,500,500,500,500,500,500,500,500,500,500,0,500,500,501,501,501,501,501,501,501,501,0,0,501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,502,502,502,502,502,502,502,502,502,502,96,502,502,502,502,502,502,502,502,502,502,196,502,502,502,502,502,502,502,502,502,502,297,502,502,502,502,502,502,502,502,502,502,396,502,502,502,502,502,502,502,502,502,502,496,502,502,502,502,502,502,502,502,502,502,500,502,502,502,502,502,502,502,502,502,502,500,502,502,502,502,502,502,502,502,502,502,500,502,502,502,502,502,502,502,502,502,502,500,502,502,502,502,502,502,502,502,502,502,0,500,502,502,502,502,502,502,502,502,502,502,500,502,502,502,502,502,502,502,502,502,502,500,502,502,502,502,502,502,502,502,502,502,500,502,502,502,503,503,503,503,503,503,503,500,503,504,504,504,504,504,504,504,504,504,500,504,504,504,504,504,504,504,504,504,504,500,504,504,504,504,504,504,504,504,504,504,500,504,504,504,504,504,504,504,504,504,504,500,504,504,504,504,504,504,504,504,504,504,500,504,504,504,504,504,504,504,504,504,504,0,500,504,500,500,500,500,500,500,500,500,500,0,500,500,500,500,500,500,500,500,500,500,0,500,500,500,500,500,500,500,500,500,500,0,500,500,500,500,500,500,500,500,500,500,0,500,500,500,500,500,500,500,500,500,501,0,501,501,501,502,502,502,502,502,502,502,0,502,502,502,502,502,502,502,502,502,502
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,116,217,316,416,500,500,500,500,500,500,0,500,500,500,500,500,500,500,500,500,500,0,500,500,500,500,501,501,501,501,501,501,0,501,501,501,501,501,501,501,501,501,501,0,501,501,501,501,501,501,501,501,501,501,0,501,501,501,501,501,501,501,501,501,501,0,0,501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,100,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,200,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,299,500,500,500,500,500,500,500,500,500,500,500,399,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500
0,0,0,501,501,501,501,501,501,501,501,501,501,0,501,501,501,501,501,501,501,501,501,501,0,501,501,501,501,501,501,501,501,501,501,0,501,501,501,501,501,501,501,501,501,501,0,501,501,501,501,501,501,501,501,501,501,0,501,501,501,501,501,501,501,501,501,501,0,501,501,501,501,501,501,501,501,501,501,0,501,501,501,501,501,501,501,501,501,501,0,501,501,501,501,501,501,501,501,501,501,0,501,501,501,501,501,501,501,501,501,501,0,0,501,501,501,501,501,501,501,501,501,501,0,501,501,501,501,501,501,501,501,501,501,0,501,501,501,501,501,501,501,501,501,501,13,501,501,501,501,501,501,502,502,502,502,113,502,502,502,502,502,502,502,502,502,502,212,502,502,502,502,502,502,502,502,502,502,312,502,502,502,502,502,502,502,502,502,502,412,502,502,502,502,502,502,502,502,502,502,500,502,502,502,502,502,502,502,502,502,502,500,502,502,502,502,502,502,502,502,502,502,0,500,502,500,500,500,500,500,500,500,500,500,0,500,500,500,500,501,501,501,501,501,501,0,501,501,501,501,501,501,501,501,501,501,0,501,501,501,501,501,501,501,501,501,501,0,501,501,501,501,501,501,501,501,501,501,0,501,501,501,501,501,501,501,501,501,501,0,501,501,501,501,501,501,501,501,501,501
0,100,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,502,502,501,502,502,502,502,502,502,502,502,502,502,501,502,502,502,502,502,502,502,502,502,502,501,502,502,502,502,502,502,502,502,502,502,501,502,502,502,502,502,502,502,502,502,502,200,501,502,502,502,502,502,502,502,502,502,502,501,502,502,502,502,502,502,502,502,502,502,501,502,502,502,502,502,502,502,502,502,502,501,502,502,502,502,502,502,503,503,503,503,501,503,503,503,503,503,503,503,503,503,503,501,503,503,503,503,503,503,503,503,503,503,501,503,503,503,503,503,503,503,503,503,503,501,503,503,503,503,503,503,503,503,503,503,501,503,503,503,503,503,503,504,504,504,504,501,504,504,504,504,504,504,504,504,504,504,299,501,504,501,501,501,501,501,501,501,501,501,399,501,501,501,501,501,501,501,501,501,501,500,501,501,501,501,501,501,501,501,501,501,500,501,501,501,501,501,501,501,501,501,501,500,501,501,501,501,501,501,501,501,501,501,500,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501
0,0,0,500,500,500,500,500,500,500,500,500,500,0,500,500,500,500,500,500,500,500,500,500,0,500,500,500,500,500,500,500,500,500,500,0,500,500,500,500,500,500,500,500,500,500,0,500,500,500,500,500,500,500,500,500,500,0,500,501,501,501,501,501,501,501,501,501,0,501,501,501,501,501,501,501,501,501,501,0,501,501,501,501,501,501,501,501,501,501,0,501,501,501,501,501,501,501,501,501,501,0,501,501,502,503,503,503,503,503,503,503,0,0,503,503,504,504,504,504,504,504,504,505,0,505,505,505,505,505,505,505,505,505,505,0,505,505,505,505,505,505,505,505,505,505,0,505,505,505,505,505,506,506,506,506,506,0,506,506,506,506,506,506,506,506,506,506,0,506,506,506,506,506,506,506,506,506,506,0,506,506,506,506,506,506,506,506,506,506,0,506,506,506,506,507,507,507,507,507,507,0,507,507,507,507,507,507,507,507,507,507,0,507,507,507,507,507,507,507,507,507,507,0,0,507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,129,229,329,428,500,500,500,500,500,0,500,500,500,500,500,500,500,500,500,500,0,500,500,500,500,500,500,500,500,500,500
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,141,241,0,341,441,500,500,500,500,500,500,500,500,0,500,500,500,500,500,500,500,500,500,500,0,500,500,500,500,500,500,500,500,500,500,0,500,500,500,500,500,500,500,500,500,500,0,500,500,500,500,500,500,500,500,500,500,0,500,500,500,500,500,500,500,500,500,500,0,500,500,500,500,500,500,500,500,500,500,0,0,500,500,500,500,500,500,500,500,500,500,0,501,501,501,501,501,501,501,501,501,501,0,501,501,501,501,501,501,501,501,501,501,0,501,501,501,501,501,501,501,501,501,501,0,501,501,501,501,501,501,501,501,501,501,0,501,501,501,501,501,501,501,501,501,501,0,502,502,502,502,502,502,502,502,502,502,0,502,502,502,502,502,502,502,502,502,502,0,502,502,502,502,502,502,502,502,502,502,0,502,502,502,502,502,502,502,502,502,502,0,0,502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,500,500,500,500,500,500,500,500,500,500,0,500,500,500,500,500,500,500,500,500,500,0,500,500,500,500,500,500,500,500,500,500,0,500,500,500,500,500,500,500,500,500,500,0,500,500,500,500,500,500,500,500,500,500,0,500,500,500,500,500,500,500,500,500,500,0,500,500,500,500,500,500,500,500,500,500,0,500,500,500,500,500,500,500,500,500,500,0,500,500,500,500,500,500,500,500,500,500,0,500,500,500,500,500,500,500,500,500,500,0,0,500,500,500,500,500,500,500,500,500,500,0,500,500,500,500,500,500,500,500,500,500,0,500,500,500,500,500,500,500,500,500,500,0,500,500,500,500,500,500,500,500,500,500,0,500,500,500,500,500,500,500,500,500,500,0,500,500,500,500,500,500,500,500,500,500,0,500,500,500,500,500,500,500,500,500,500,0,500,500,500,500,500,500,500,500,500,500,0,500,500,500,500,500,500,500,500,500,500,0,500,500,500,500,500,500,500,500,500,500,0,0,500,0,19,120,220,320,420,500,500,500,0,500,500,500,500,500,500,500,500,500,500,0,500,500,500,500,500,500,500,500,500,500,0,500,500,500,500,500,500,500,500,500,500,0,500,500,500,500,500,500,500,500,500,500,0,500,500,500,500,500,500,500,500,500,500,0,500,500,500,500,500,500,500,500,500,500
0,99,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,199,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,501,501,501,501,501,501,500,501,501,501,501,501,501,501,501,501,501,500,501,501,501,501,501,501,501,501,501,501,500,501,501,501,501,501,501,501,501,501,501,500,501,501,501,501,501,501,501,501,501,501,500,501,501,501,501,501,501,501,501,501,501,298,500,501,500,500,500,500,500,500,500,500,500,398,500,500,500,500,500,500,500,500,500,500,499,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500
0,0,0,500,500,500,500,500,500,500,500,500,500,0,500,500,500,500,500,500,500,500,500,500,0,500,500,500,500,500,500,500,500,500,500,0,500,500,500,500,500,500,500,500,500,500,0,500,500,500,500,500,500,500,500,500,500,51,500,500,500,500,500,500,500,500,500,500,151,500,500,500,500,500,500,500,500,500,500,251,500,500,500,500,500,500,500,500,500,500,351,500,500,500,500,500,500,500,500,500,500,452,500,500,500,500,500,500,500,500,500,500,0,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,0,500,500,500,500,500,500,500,500,500,500,500,0,500,500,500,500,500,500,500,500,500,500,0,500,500,500,500,500,500,500,500,500,500,0,500,500,500,500,500,500,500,500,500,500,0,500,500,500,500,500,500,500,500,500,500,0,500,500,500,500,500,500,500,500,500,500,0,500,500,500,500,500,500,500,500,500,500
