nullrtA2b1B0,rtA2b1B1,rtA2b1B2,rtA2b1B3,rtA2b1B4,rtA2b1B5,rtA2b1B6,rtA2b1B7,rtA2b1B8,rtA2b1B9,rtA2b1B10,rtA2b1B11,rtA2b1B12,rtA2b1B13,rtA2b1B14,rtA2b1B15,rtA2b1B16,rtA2b1B17,rtA2b1B18,rtA2b1B19,rtA2b1B20,rtA2b1B21,rtA2b1B22,rtA2b1B23,rtA2b1B24,rtA2b1B25,rtA2b1B26,rtA2b1B27,rtA2b1B28,rtA2b1B29,rtA2b1B30,rtA2b1B31,rtA2b1B32,rtA2b1B33,rtA2b1B34,rtA2b1B35,rtA2b1B36,rtA2b1B37,rtA2b1B38,rtA2b1B39,rtA2b1B40,rtA2b1B41,rtA2b1B42,rtA2b1B43,rtA2b1B44,rtA2b1B45,rtA2b1B46,rtA2b1B47,rtA2b1B48,rtA2b1B49,rtA2b1B50,rtA2b1B51,rtA2b1B52,rtA2b1B53,rtA2b1B54,rtA2b1B55,rtA2b1B56,rtA2b1B57,rtA2b1B58,rtA2b1B59,rtA2b1B60,rtA2b1B61,rtA2b1B62,rtA2b1B63,rtA2b1B64,rtA2b1B65,rtA2b1B66,rtA2b1B67,rtA2b1B68,rtA2b1B69,rtA2b1B70,rtA2b1B71,rtA2b1B72,rtA2b1B73,rtA2b1B74,rtA2b1B75,rtA2b1B76,rtA2b1B77,rtA2b1B78,rtA2b1B79,rtA2b1B80,rtA2b1B81,rtA2b1B82,rtA2b1B83,rtA2b1B84,rtA2b1B85,rtA2b1B86,rtA2b1B87,rtA2b1B88,rtA2b1B89,rtA2b1B90,rtA2b1B91,rtA2b1B92,rtA2b1B93,rtA2b1B94,rtA2b1B95,rtA2b1B96,rtA2b1B97,rtA2b1B98,rtA2b1B99,rtA2b1B100,rtA2b1B101,rtA2b1B102,rtA2b1B103,rtA2b1B104,rtA2b1B105,rtA2b1B106,rtA2b1B107,rtA2b1B108,rtA2b1B109,rtA2b1B110,rtA2b1B111,rtA2b1B112,rtA2b1B113,rtA2b1B114,rtA2b1B115,rtA2b1B116,rtA2b1B117,rtA2b1B118,rtA2b1B119,rtA2b1B120,rtA2b1B121,rtA2b1B122,rtA2b1B123,rtA2b1B124,rtA2b1B125,rtA2b1B126,rtA2b1B127,rtA2b1B128,rtA2b1B129,rtA2b1B130,rtA2b1B131,rtA2b1B132,rtA2b1B133,rtA2b1B134,rtA2b1B135,rtA2b1B136,rtA2b1B137,rtA2b1B138,rtA2b1B139,rtA2b1B140,rtA2b1B141,rtA2b1B142,rtA2b1B143,rtA2b1B144,rtA2b1B145,rtA2b1B146,rtA2b1B147,rtA2b1B148,rtA2b1B149,rtA2b1B150,rtA2b1B151,rtA2b1B152,rtA2b1B153,rtA2b1B154,rtA2b1B155,rtA2b1B156,rtA2b1B157,rtA2b1B158,rtA2b1B159,rtA2b1B160,rtA2b1B161,rtA2b1B162,rtA2b1B163,rtA2b1B164,rtA2b1B165,rtA2b1B166,rtA2b1B167,rtA2b1B168,rtA2b1B169,rtA2b1B170,rtA2b1B171,rtA2b1B172,rtA2b1B173,rtA2b1B174,rtA2b1B175,rtA2b1B176,rtA2b1B177,rtA2b1B178,rtA2b1B179,rtA2b1B180,rtA2b1B181,rtA2b1B182,rtA2b1B183,rtA2b1B184,rtA2b1B185,rtA2b1B186,rtA2b1B187,rtA2b1B188,rtA2b1B189,rtA2b1B190,rtA2b1B191,rtA2b1B192,rtA2b1B193,rtA2b1B194,rtA2b1B195,rtA2b1B196,rtA2b1B197,rtA2b1B198,rtA2b1B199,rtA2b1B200,rtA2b1B201,rtA2b1B202,rtA2b1B203,rtA2b1B204,rtA2b1B205,rtA2b1B206,rtA2b1B207,rtA2b1B208,rtA2b1B209,rtA2b1B210,rtA2b1B211,rtA2b1B212,rtA2b1B213,rtA2b1B214,rtA2b1B215,rtA2b1B216,rtA2b1B217,rtA2b1B218,rtA2b1B219,rtA2b1B220,rtA2b1B221,rtA2b1B222,rtA2b1B223,rtA2b1B224,rtA2b1B225,rtA2b1B226,rtA2b1B227,rtA2b1B228,rtA2b1B229,rtA2b1B230,rtA2b1B231,rtA2b1B232,rtA2b1B233,rtA2b1B234,rtA2b1B235,rtA2b1B236,rtA2b1B237,rtA2b1B238,rtA2b1B239,rtA2b1B240,rtA2b1B241,rtA2b1B242,rtA2b1B243,rtA2b1B244,rtA2b1B245,rtA2b1B246,rtA2b1B247,rtA2b1B248,rtA2b1B249,rtA2b1B250,rtA2b1B251,rtA2b1B252,rtA2b1B253,rtA2b1B254,rtA2b1B255,rtA2b1B256,rtA2b1B257,rtA2b1B258,rtA2b1B259,rtA2b1B260,rtA2b1B261,rtA2b1B262,rtA2b1B263,rtA2b1B264,rtA2b1B265,rtA2b1B266,rtA2b1B267,rtA2b1B268,rtA2b1B269,rtA2b1B270,rtA2b1B271,rtA2b1B272,rtA2b1B273,rtA2b1B274,rtA2b1B275,rtA2b1B276,rtA2b1B277,rtA2b1B278,rtA2b1B279,rtA2b1B280,rtA2b1B281,rtA2b1B282,rtA2b1B283,rtA2b1B284,rtA2b1B285,rtA2b1B286,rtA2b1B287,rtA2b1B288,rtA2b1B289,rtA2b1B290,rtA2b1B291,rtA2b1B292,rtA2b1B293,rtA2b1B294,rtA2b1B295,rtA2b1B296,rtA2b1B297,rtA2b1B298,rtA2b1B299,rtA2b1B300
0,4404,45882,485825,490572,495272,499972,504649,509497,514247,519095,523778,528478,50828,533153,537707,542307,546907,551553,556086,560586,565058,569516,574069,55828,578623,583223,587821,592467,597021,601667,606124,610620,615165,619665,60878,624165,628665,633120,637665,642120,646620,651117,655517,659961,664361,65920,668731,672893,677193,681493,685741,689914,693954,697975,702034,706183,71007,710295,714392,718770,723170,727523,731967,736263,740689,745389,750163,76007,754888,759588,764335,769063,773984,778882,783796,788605,793358,797916,81007,802414,806959,811414,815914,820414,825005,829479,834057,838657,843303,86007,847903,852554,857146,861786,866148,870589,874857,879155,883447,887847,91151,892250,896650,901002,905327,909771,914127,918600,923145,927701,932381,8784,96218,937144,941764,946219,950764,955292,959938,964572,969218,973772,978372,101369,982961,987581,992036,996536,1001036,1005575,1009988,1014488,1018914,1023255,106366,1027598,1031898,1036155,1040455,1044751,1049094,1053394,1057651,1062004,1066360,111416,1070804,1075204,1079560,1084101,1088701,1093266,1098039,1102739,1107437,1112135,116416,1116730,1121376,1125919,1130349,1134809,1139367,1143967,1148593,1153282,1157984,121293,1162832,1167708,1172559,1177368,1182307,1187207,1192065,1196844,1201544,1206469,126193,1211469,1216519,1221517,1226517,1231560,1236660,1241760,1246860,1251960,1257111,131143,1262160,1267311,1272409,1277492,1282478,1287419,1292419,1297419,1302419,1307564,136052,1312610,1317710,1322806,1327957,1333006,1338106,1343318,1348424,1353621,1358621,140971,1363621,1368571,1373624,1378724,1383824,1388924,1394024,1399103,1404239,1409107,13041,145978,1414056,150928,155928,160942,165822,170720,175627,180536,185387,190349,17341,195349,200399,205377,210302,215187,220136,225094,230094,235094,240094,21684,245094,250121,255221,260321,265472,270547,275547,280497,285441,290341,26619,295308,300308,305340,310494,315746,320862,325962,331128,336228,341266,31386,346216,351177,356077,360870,365523,370268,374919,379619,384310,388963,36234,393710,398363,403020,407634,412006,416517,421163,425763,430400,434900,40986,439445,443966,448520,453120,457681,462226,466829,471529,476283,481099
0,4404,45882,485825,490572,495272,499972,504649,509497,514247,519095,523778,528478,50828,533153,537707,542307,546907,551553,556086,560586,565058,569516,574069,55828,578623,583223,587821,592467,597021,601667,606124,610620,615165,619665,60878,624165,628665,633120,637665,642120,646620,651117,655517,659961,664361,65920,668731,672893,677193,681493,685741,689914,693954,697975,702034,706183,71007,710295,714392,718770,723170,727523,731967,736263,740689,745389,750163,76007,754888,759588,764335,769063,773984,778882,783796,788605,793358,797916,81007,802414,806959,811414,815914,820414,825005,829479,834057,838657,843303,86007,847903,852554,857146,861786,866148,870589,874857,879155,883447,887847,91151,892250,896650,901002,905327,909771,914127,918600,923145,927701,932381,8784,96218,937144,941764,946219,950764,955292,959938,964572,969218,973772,978372,101369,982961,987581,992036,996536,1001036,1005575,1009988,1014488,1018914,1023255,106366,1027598,1031898,1036155,1040455,1044751,1049094,1053394,1057651,1062004,1066360,111416,1070804,1075204,1079560,1084101,1088701,1093266,1098039,1102739,1107437,1112135,116416,1116730,1121376,1125919,1130349,1134809,1139367,1143967,1148593,1153282,1157984,121293,1162832,1167708,1172559,1177368,1182307,1187207,1192065,1196844,1201544,1206469,126193,1211469,1216519,1221517,1226517,1231560,1236660,1241760,1246860,1251960,1257111,131143,1262160,1267311,1272409,1277492,1282478,1287419,1292419,1297419,1302419,1307564,136052,1312610,1317710,1322806,1327957,1333006,1338106,1343318,1348424,1353621,1358621,140971,1363621,1368571,1373624,1378724,1383824,1388924,1394024,1399103,1404239,1409107,13041,145978,1414056,150928,155928,160942,165822,170720,175627,180536,185387,190349,17341,195349,200399,205377,210302,215187,220136,225094,230094,235094,240094,21684,245094,250121,255221,260321,265472,270547,275547,280497,285441,290341,26619,295308,300308,305340,310494,315746,320862,325962,331128,336228,341266,31386,346216,351177,356077,360870,365523,370268,374919,379619,384310,388963,36234,393710,398363,403020,407634,412006,416517,421163,425763,430400,434900,40986,439445,443966,448520,453120,457681,462226,466829,471529,476283,481099
0,4404,45882,485825,490572,495272,499972,504649,509497,514247,519095,523778,528478,50828,533153,537707,542307,546907,551553,556086,560586,565058,569516,574069,55828,578623,583223,587821,592467,597021,601667,606124,610620,615165,619665,60878,624165,628665,633120,637665,642120,646620,651117,655517,659961,664361,65920,668731,672893,677193,681493,685741,689914,693954,697975,702034,706183,71007,710295,714392,718770,723170,727523,731967,736263,740689,745389,750163,76007,754888,759588,764335,769063,773984,778882,783796,788605,793358,797916,81007,802414,806959,811414,815914,820414,825005,829479,834057,838657,843303,86007,847903,852554,857146,861786,866148,870589,874857,879155,883447,887847,91151,892250,896650,901002,905327,909771,914127,918600,923145,927701,932381,8784,96218,937144,941764,946219,950764,955292,959938,964572,969218,973772,978372,101369,982961,987581,992036,996536,1001036,1005575,1009988,1014488,1018914,1023255,106366,1027598,1031898,1036155,1040455,1044751,1049094,1053394,1057651,1062004,1066360,111416,1070804,1075204,1079560,1084101,1088701,1093266,1098039,1102739,1107437,1112135,116416,1116730,1121376,1125919,1130349,1134809,1139367,1143967,1148593,1153282,1157984,121293,1162832,1167708,1172559,1177368,1182307,1187207,1192065,1196844,1201544,1206469,126193,1211469,1216519,1221517,1226517,1231560,1236660,1241760,1246860,1251960,1257111,131143,1262160,1267311,1272409,1277492,1282478,1287419,1292419,1297419,1302419,1307564,136052,1312610,1317710,1322806,1327957,1333006,1338106,1343318,1348424,1353621,1358621,140971,1363621,1368571,1373624,1378724,1383824,1388924,1394024,1399103,1404239,1409107,13041,145978,1414056,150928,155928,160942,165822,170720,175627,180536,185387,190349,17341,195349,200399,205377,210302,215187,220136,225094,230094,235094,240094,21684,245094,250121,255221,260321,265472,270547,275547,280497,285441,290341,26619,295308,300308,305340,310494,315746,320862,325962,331128,336228,341266,31386,346216,351177,356077,360870,365523,370268,374919,379619,384310,388963,36234,393710,398363,403020,407634,412006,416517,421163,425763,430400,434900,40986,439445,443966,448520,453120,457681,462226,466829,471529,476283,481099
0,4404,45882,485825,490572,495272,499972,504649,509497,514247,519095,523778,528478,50828,533153,537707,542307,546907,551553,556086,560586,565058,569516,574069,55828,578623,583223,587821,592467,597021,601667,606124,610620,615165,619665,60878,624165,628665,633120,637665,642120,646620,651117,655517,659961,664361,65920,668731,672893,677193,681493,685741,689914,693954,697975,702034,706183,71007,710295,714392,718770,723170,727523,731967,736263,740689,745389,750163,76007,754888,759588,764335,769063,773984,778882,783796,788605,793358,797916,81007,802414,806959,811414,815914,820414,825005,829479,834057,838657,843303,86007,847903,852554,857146,861786,866148,870589,874857,879155,883447,887847,91151,892250,896650,901002,905327,909771,914127,918600,923145,927701,932381,8784,96218,937144,941764,946219,950764,955292,959938,964572,969218,973772,978372,101369,982961,987581,992036,996536,1001036,1005575,1009988,1014488,1018914,1023255,106366,1027598,1031898,1036155,1040455,1044751,1049094,1053394,1057651,1062004,1066360,111416,1070804,1075204,1079560,1084101,1088701,1093266,1098039,1102739,1107437,1112135,116416,1116730,1121376,1125919,1130349,1134809,1139367,1143967,1148593,1153282,1157984,121293,1162832,1167708,1172559,1177368,1182307,1187207,1192065,1196844,1201544,1206469,126193,1211469,1216519,1221517,1226517,1231560,1236660,1241760,1246860,1251960,1257111,131143,1262160,1267311,1272409,1277492,1282478,1287419,1292419,1297419,1302419,1307564,136052,1312610,1317710,1322806,1327957,1333006,1338106,1343318,1348424,1353621,1358621,140971,1363621,1368571,1373624,1378724,1383824,1388924,1394024,1399103,1404239,1409107,13041,145978,1414056,150928,155928,160942,165822,170720,175627,180536,185387,190349,17341,195349,200399,205377,210302,215187,220136,225094,230094,235094,240094,21684,245094,250121,255221,260321,265472,270547,275547,280497,285441,290341,26619,295308,300308,305340,310494,315746,320862,325962,331128,336228,341266,31386,346216,351177,356077,360870,365523,370268,374919,379619,384310,388963,36234,393710,398363,403020,407634,412006,416517,421163,425763,430400,434900,40986,439445,443966,448520,453120,457681,462226,466829,471529,476283,481099
0,4404,45882,485825,490572,495272,499972,504649,509497,514247,519095,523778,528478,50828,533153,537707,542307,546907,551553,556086,560586,565058,569516,574069,55828,578623,583223,587821,592467,597021,601667,606124,610620,615165,619665,60878,624165,628665,633120,637665,642120,646620,651117,655517,659961,664361,65920,668731,672893,677193,681493,685741,689914,693954,697975,702034,706183,71007,710295,714392,718770,723170,727523,731967,736263,740689,745389,750163,76007,754888,759588,764335,769063,773984,778882,783796,788605,793358,797916,81007,802414,806959,811414,815914,820414,825005,829479,834057,838657,843303,86007,847903,852554,857146,861786,866148,870589,874857,879155,883447,887847,91151,892250,896650,901002,905327,909771,914127,918600,923145,927701,932381,8784,96218,937144,941764,946219,950764,955292,959938,964572,969218,973772,978372,101369,982961,987581,992036,996536,1001036,1005575,1009988,1014488,1018914,1023255,106366,1027598,1031898,1036155,1040455,1044751,1049094,1053394,1057651,1062004,1066360,111416,1070804,1075204,1079560,1084101,1088701,1093266,1098039,1102739,1107437,1112135,116416,1116730,1121376,1125919,1130349,1134809,1139367,1143967,1148593,1153282,1157984,121293,1162832,1167708,1172559,1177368,1182307,1187207,1192065,1196844,1201544,1206469,126193,1211469,1216519,1221517,1226517,1231560,1236660,1241760,1246860,1251960,1257111,131143,1262160,1267311,1272409,1277492,1282478,1287419,1292419,1297419,1302419,1307564,136052,1312610,1317710,1322806,1327957,1333006,1338106,1343318,1348424,1353621,1358621,140971,1363621,1368571,1373624,1378724,1383824,1388924,1394024,1399103,1404239,1409107,13041,145978,1414056,150928,155928,160942,165822,170720,175627,180536,185387,190349,17341,195349,200399,205377,210302,215187,220136,225094,230094,235094,240094,21684,245094,250121,255221,260321,265472,270547,275547,280497,285441,290341,26619,295308,300308,305340,310494,315746,320862,325962,331128,336228,341266,31386,346216,351177,356077,360870,365523,370268,374919,379619,384310,388963,36234,393710,398363,403020,407634,412006,416517,421163,425763,430400,434900,40986,439445,443966,448520,453120,457681,462226,466829,471529,476283,481099
0,4404,45882,485825,490572,495272,499972,504649,509497,514247,519095,523778,528478,50828,533153,537707,542307,546907,551553,556086,560586,565058,569516,574069,55828,578623,583223,587821,592467,597021,601667,606124,610620,615165,619665,60878,624165,628665,633120,637665,642120,646620,651117,655517,659961,664361,65920,668731,672893,677193,681493,685741,689914,693954,697975,702034,706183,71007,710295,714392,718770,723170,727523,731967,736263,740689,745389,750163,76007,754888,759588,764335,769063,773984,778882,783796,788605,793358,797916,81007,802414,806959,811414,815914,820414,825005,829479,834057,838657,843303,86007,847903,852554,857146,861786,866148,870589,874857,879155,883447,887847,91151,892250,896650,901002,905327,909771,914127,918600,923145,927701,932381,8784,96218,937144,941764,946219,950764,955292,959938,964572,969218,973772,978372,101369,982961,987581,992036,996536,1001036,1005575,1009988,1014488,1018914,1023255,106366,1027598,1031898,1036155,1040455,1044751,1049094,1053394,1057651,1062004,1066360,111416,1070804,1075204,1079560,1084101,1088701,1093266,1098039,1102739,1107437,1112135,116416,1116730,1121376,1125919,1130349,1134809,1139367,1143967,1148593,1153282,1157984,121293,1162832,1167708,1172559,1177368,1182307,1187207,1192065,1196844,1201544,1206469,126193,1211469,1216519,1221517,1226517,1231560,1236660,1241760,1246860,1251960,1257111,131143,1262160,1267311,1272409,1277492,1282478,1287419,1292419,1297419,1302419,1307564,136052,1312610,1317710,1322806,1327957,1333006,1338106,1343318,1348424,1353621,1358621,140971,1363621,1368571,1373624,1378724,1383824,1388924,1394024,1399103,1404239,1409107,13041,145978,1414056,150928,155928,160942,165822,170720,175627,180536,185387,190349,17341,195349,200399,205377,210302,215187,220136,225094,230094,235094,240094,21684,245094,250121,255221,260321,265472,270547,275547,280497,285441,290341,26619,295308,300308,305340,310494,315746,320862,325962,331128,336228,341266,31386,346216,351177,356077,360870,365523,370268,374919,379619,384310,388963,36234,393710,398363,403020,407634,412006,416517,421163,425763,430400,434900,40986,439445,443966,448520,453120,457681,462226,466829,471529,476283,481099
0,4404,45882,485825,490572,495272,499972,504649,509497,514247,519095,523778,528478,50828,533153,537707,542307,546907,551553,556086,560586,565058,569516,574069,55828,578623,583223,587821,592467,597021,601667,606124,610620,615165,619665,60878,624165,628665,633120,637665,642120,646620,651117,655517,659961,664361,65920,668731,672893,677193,681493,685741,689914,693954,697975,702034,706183,71007,710295,714392,718770,723170,727523,731967,736263,740689,745389,750163,76007,754888,759588,764335,769063,773984,778882,783796,788605,793358,797916,81007,802414,806959,811414,815914,820414,825005,829479,834057,838657,843303,86007,847903,852554,857146,861786,866148,870589,874857,879155,883447,887847,91151,892250,896650,901002,905327,909771,914127,918600,923145,927701,932381,8784,96218,937144,941764,946219,950764,955292,959938,964572,969218,973772,978372,101369,982961,987581,992036,996536,1001036,1005575,1009988,1014488,1018914,1023255,106366,1027598,1031898,1036155,1040455,1044751,1049094,1053394,1057651,1062004,1066360,111416,1070804,1075204,1079560,1084101,1088701,1093266,1098039,1102739,1107437,1112135,116416,1116730,1121376,1125919,1130349,1134809,1139367,1143967,1148593,1153282,1157984,121293,1162832,1167708,1172559,1177368,1182307,1187207,1192065,1196844,1201544,1206469,126193,1211469,1216519,1221517,1226517,1231560,1236660,1241760,1246860,1251960,1257111,131143,1262160,1267311,1272409,1277492,1282478,1287419,1292419,1297419,1302419,1307564,136052,1312610,1317710,1322806,1327957,1333006,1338106,1343318,1348424,1353621,1358621,140971,1363621,1368571,1373624,1378724,1383824,1388924,1394024,1399103,1404239,1409107,13041,145978,1414056,150928,155928,160942,165822,170720,175627,180536,185387,190349,17341,195349,200399,205377,210302,215187,220136,225094,230094,235094,240094,21684,245094,250121,255221,260321,265472,270547,275547,280497,285441,290341,26619,295308,300308,305340,310494,315746,320862,325962,331128,336228,341266,31386,346216,351177,356077,360870,365523,370268,374919,379619,384310,388963,36234,393710,398363,403020,407634,412006,416517,421163,425763,430400,434900,40986,439445,443966,448520,453120,457681,462226,466829,471529,476283,481099
0,4404,45882,485825,490572,495272,499972,504649,509497,514247,519095,523778,528478,50828,533153,537707,542307,546907,551553,556086,560586,565058,569516,574069,55828,578623,583223,587821,592467,597021,601667,606124,610620,615165,619665,60878,624165,628665,633120,637665,642120,646620,651117,655517,659961,664361,65920,668731,672893,677193,681493,685741,689914,693954,697975,702034,706183,71007,710295,714392,718770,723170,727523,731967,736263,740689,745389,750163,76007,754888,759588,764335,769063,773984,778882,783796,788605,793358,797916,81007,802414,806959,811414,815914,820414,825005,829479,834057,838657,843303,86007,847903,852554,857146,861786,866148,870589,874857,879155,883447,887847,91151,892250,896650,901002,905327,909771,914127,918600,923145,927701,932381,8784,96218,937144,941764,946219,950764,955292,959938,964572,969218,973772,978372,101369,982961,987581,992036,996536,1001036,1005575,1009988,1014488,1018914,1023255,106366,1027598,1031898,1036155,1040455,1044751,1049094,1053394,1057651,1062004,1066360,111416,1070804,1075204,1079560,1084101,1088701,1093266,1098039,1102739,1107437,1112135,116416,1116730,1121376,1125919,1130349,1134809,1139367,1143967,1148593,1153282,1157984,121293,1162832,1167708,1172559,1177368,1182307,1187207,1192065,1196844,1201544,1206469,126193,1211469,1216519,1221517,1226517,1231560,1236660,1241760,1246860,1251960,1257111,131143,1262160,1267311,1272409,1277492,1282478,1287419,1292419,1297419,1302419,1307564,136052,1312610,1317710,1322806,1327957,1333006,1338106,1343318,1348424,1353621,1358621,140971,1363621,1368571,1373624,1378724,1383824,1388924,1394024,1399103,1404239,1409107,13041,145978,1414056,150928,155928,160942,165822,170720,175627,180536,185387,190349,17341,195349,200399,205377,210302,215187,220136,225094,230094,235094,240094,21684,245094,250121,255221,260321,265472,270547,275547,280497,285441,290341,26619,295308,300308,305340,310494,315746,320862,325962,331128,336228,341266,31386,346216,351177,356077,360870,365523,370268,374919,379619,384310,388963,36234,393710,398363,403020,407634,412006,416517,421163,425763,430400,434900,40986,439445,443966,448520,453120,457681,462226,466829,471529,476283,481099
0,4404,45882,485825,490572,495272,499972,504649,509497,514247,519095,523778,528478,50828,533153,537707,542307,546907,551553,556086,560586,565058,569516,574069,55828,578623,583223,587821,592467,597021,601667,606124,610620,615165,619665,60878,624165,628665,633120,637665,642120,646620,651117,655517,659961,664361,65920,668731,672893,677193,681493,685741,689914,693954,697975,702034,706183,71007,710295,714392,718770,723170,727523,731967,736263,740689,745389,750163,76007,754888,759588,764335,769063,773984,778882,783796,788605,793358,797916,81007,802414,806959,811414,815914,820414,825005,829479,834057,838657,843303,86007,847903,852554,857146,861786,866148,870589,874857,879155,883447,887847,91151,892250,896650,901002,905327,909771,914127,918600,923145,927701,932381,8784,96218,937144,941764,946219,950764,955292,959938,964572,969218,973772,978372,101369,982961,987581,992036,996536,1001036,1005575,1009988,1014488,1018914,1023255,106366,1027598,1031898,1036155,1040455,1044751,1049094,1053394,1057651,1062004,1066360,111416,1070804,1075204,1079560,1084101,1088701,1093266,1098039,1102739,1107437,1112135,116416,1116730,1121376,1125919,1130349,1134809,1139367,1143967,1148593,1153282,1157984,121293,1162832,1167708,1172559,1177368,1182307,1187207,1192065,1196844,1201544,1206469,126193,1211469,1216519,1221517,1226517,1231560,1236660,1241760,1246860,1251960,1257111,131143,1262160,1267311,1272409,1277492,1282478,1287419,1292419,1297419,1302419,1307564,136052,1312610,1317710,1322806,1327957,1333006,1338106,1343318,1348424,1353621,1358621,140971,1363621,1368571,1373624,1378724,1383824,1388924,1394024,1399103,1404239,1409107,13041,145978,1414056,150928,155928,160942,165822,170720,175627,180536,185387,190349,17341,195349,200399,205377,210302,215187,220136,225094,230094,235094,240094,21684,245094,250121,255221,260321,265472,270547,275547,280497,285441,290341,26619,295308,300308,305340,310494,315746,320862,325962,331128,336228,341266,31386,346216,351177,356077,360870,365523,370268,374919,379619,384310,388963,36234,393710,398363,403020,407634,412006,416517,421163,425763,430400,434900,40986,439445,443966,448520,453120,457681,462226,466829,471529,476283,481099
0,4404,45882,485825,490572,495272,499972,504649,509497,514247,519095,523778,528478,50828,533153,537707,542307,546907,551553,556086,560586,565058,569516,574069,55828,578623,583223,587821,592467,597021,601667,606124,610620,615165,619665,60878,624165,628665,633120,637665,642120,646620,651117,655517,659961,664361,65920,668731,672893,677193,681493,685741,689914,693954,697975,702034,706183,71007,710295,714392,718770,723170,727523,731967,736263,740689,745389,750163,76007,754888,759588,764335,769063,773984,778882,783796,788605,793358,797916,81007,802414,806959,811414,815914,820414,825005,829479,834057,838657,843303,86007,847903,852554,857146,861786,866148,870589,874857,879155,883447,887847,91151,892250,896650,901002,905327,909771,914127,918600,923145,927701,932381,8784,96218,937144,941764,946219,950764,955292,959938,964572,969218,973772,978372,101369,982961,987581,992036,996536,1001036,1005575,1009988,1014488,1018914,1023255,106366,1027598,1031898,1036155,1040455,1044751,1049094,1053394,1057651,1062004,1066360,111416,1070804,1075204,1079560,1084101,1088701,1093266,1098039,1102739,1107437,1112135,116416,1116730,1121376,1125919,1130349,1134809,1139367,1143967,1148593,1153282,1157984,121293,1162832,1167708,1172559,1177368,1182307,1187207,1192065,1196844,1201544,1206469,126193,1211469,1216519,1221517,1226517,1231560,1236660,1241760,1246860,1251960,1257111,131143,1262160,1267311,1272409,1277492,1282478,1287419,1292419,1297419,1302419,1307564,136052,1312610,1317710,1322806,1327957,1333006,1338106,1343318,1348424,1353621,1358621,140971,1363621,1368571,1373624,1378724,1383824,1388924,1394024,1399103,1404239,1409107,13041,145978,1414056,150928,155928,160942,165822,170720,175627,180536,185387,190349,17341,195349,200399,205377,210302,215187,220136,225094,230094,235094,240094,21684,245094,250121,255221,260321,265472,270547,275547,280497,285441,290341,26619,295308,300308,305340,310494,315746,320862,325962,331128,336228,341266,31386,346216,351177,356077,360870,365523,370268,374919,379619,384310,388963,36234,393710,398363,403020,407634,412006,416517,421163,425763,430400,434900,40986,439445,443966,448520,453120,457681,462226,466829,471529,476283,481099
0,4404,45882,485825,490572,495272,499972,504649,509497,514247,519095,523778,528478,50828,533153,537707,542307,546907,551553,556086,560586,565058,569516,574069,55828,578623,583223,587821,592467,597021,601667,606124,610620,615165,619665,60878,624165,628665,633120,637665,642120,646620,651117,655517,659961,664361,65920,668731,672893,677193,681493,685741,689914,693954,697975,702034,706183,71007,710295,714392,718770,723170,727523,731967,736263,740689,745389,750163,76007,754888,759588,764335,769063,773984,778882,783796,788605,793358,797916,81007,802414,806959,811414,815914,820414,825005,829479,834057,838657,843303,86007,847903,852554,857146,861786,866148,870589,874857,879155,883447,887847,91151,892250,896650,901002,905327,909771,914127,918600,923145,927701,932381,8784,96218,937144,941764,946219,950764,955292,959938,964572,969218,973772,978372,101369,982961,987581,992036,996536,1001036,1005575,1009988,1014488,1018914,1023255,106366,1027598,1031898,1036155,1040455,1044751,1049094,1053394,1057651,1062004,1066360,111416,1070804,1075204,1079560,1084101,1088701,1093266,1098039,1102739,1107437,1112135,116416,1116730,1121376,1125919,1130349,1134809,1139367,1143967,1148593,1153282,1157984,121293,1162832,1167708,1172559,1177368,1182307,1187207,1192065,1196844,1201544,1206469,126193,1211469,1216519,1221517,1226517,1231560,1236660,1241760,1246860,1251960,1257111,131143,1262160,1267311,1272409,1277492,1282478,1287419,1292419,1297419,1302419,1307564,136052,1312610,1317710,1322806,1327957,1333006,1338106,1343318,1348424,1353621,1358621,140971,1363621,1368571,1373624,1378724,1383824,1388924,1394024,1399103,1404239,1409107,13041,145978,1414056,150928,155928,160942,165822,170720,175627,180536,185387,190349,17341,195349,200399,205377,210302,215187,220136,225094,230094,235094,240094,21684,245094,250121,255221,260321,265472,270547,275547,280497,285441,290341,26619,295308,300308,305340,310494,315746,320862,325962,331128,336228,341266,31386,346216,351177,356077,360870,365523,370268,374919,379619,384310,388963,36234,393710,398363,403020,407634,412006,416517,421163,425763,430400,434900,40986,439445,443966,448520,453120,457681,462226,466829,471529,476283,481099
